dataset,category,M,K,nnz,N,d_bar,cv_d,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,gflops_truennz,gflops_padded,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
ca-GrQc,Dense Small,5242,5242,28980,64,5.528,1.432,cuBLAS,0.095068,0.635124,0.143462,0.778587,0.016358,1.055983,39.02,36997.21,0.17207,1.356282,True,False,False,0.010711669921875,0.09000000000000001,
ca-GrQc,Dense Small,5242,5242,28980,128,5.528,1.432,cuBLAS,0.163308,0.804359,0.211661,1.01602,0.017659,1.218176,45.43,43075.25,0.108133,1.198968,True,False,False,0.01007080078125,0.09000000000000001,
ca-GrQc,Dense Small,5242,5242,28980,256,5.528,1.432,cuBLAS,0.212127,0.83692,0.248218,1.085137,0.033224,1.475969,69.95,66323.68,0.156622,1.360168,True,False,False,0.010951995849609375,0.09000000000000001,
ca-HepTh,Dense Small,9877,9877,51971,64,5.262,1.176,cuBLAS,0.34838,3.267353,0.39465,3.662002,0.016579,1.016147,19.09,35843.19,0.047588,0.277484,True,False,False,0.009382247924804688,0.0806225774829855,
ca-HepTh,Dense Small,9877,9877,51971,128,5.262,1.176,cuBLAS,0.588447,2.648551,0.61399,3.262541,0.030776,1.154794,22.61,42440.74,0.052301,0.353955,True,False,False,0.010416030883789062,0.0806225774829855,
ca-HepTh,Dense Small,9877,9877,51971,256,5.262,1.176,cuBLAS,0.7778,2.810768,0.78889,3.599658,0.069161,1.090786,34.21,64217.34,0.088919,0.303025,True,False,False,0.00988006591796875,0.0806225774829855,
ca-CondMat,Dense Small,23133,23133,186936,64,8.081,1.316,cuBLAS,3.017964,4.215624,3.043123,7.258747,0.047334,1.073398,7.93,22696.55,0.015684,0.147877,True,False,False,0.018951416015625,0.16733200530681513,
ca-CondMat,Dense Small,23133,23133,186936,128,8.081,1.316,cuBLAS,3.211054,4.31625,3.237478,7.553729,0.1009,1.128957,14.9,42663.48,0.031423,0.149457,True,False,False,0.02048492431640625,0.16733200530681513,
ca-CondMat,Dense Small,23133,23133,186936,256,8.081,1.316,cuBLAS,5.254415,4.301722,5.232128,9.53385,0.197596,1.302324,18.22,52144.62,0.037606,0.1366,True,False,False,0.01952362060546875,0.16733200530681513,
amazon-photo,Dense Small,7650,7650,238162,64,31.132,1.519,cuBLAS,0.178821,3.814125,0.242688,4.056813,0.036229,1.34142,170.48,41890.35,0.2026,0.330659,True,False,False,0.04245758056640625,0.37868192457522976,
