regime,ablation_kind,removed,configs,router_oracle_geomean,oracle_hits,hit_rate,ratio_ge_0_85,ratio_ge_0_99
cold,none,none,192,0.026484348672719146,9,0.046875,9,9
cold,feature_median_mask,M,192,0.018548731844879766,0,0.0,0,0
cold,only_feature_variable,M,192,0.02077024737935133,0,0.0,0,0
cold,feature_median_mask,N,192,0.022241827533986094,11,0.057291666666666664,11,11
cold,only_feature_variable,N,192,0.02077024737935133,0,0.0,0,0
cold,feature_median_mask,d,192,0.037607845871262764,11,0.057291666666666664,14,11
cold,only_feature_variable,d,192,0.014338716090008533,0,0.0,0,0
cold,feature_median_mask,cv,192,0.029018328528998955,4,0.020833333333333332,4,4
cold,only_feature_variable,cv,192,0.02077024737935133,0,0.0,0,0
cold,leave_one_rule_out,rule_1,192,0.02299343833828816,9,0.046875,9,9
cold,leave_one_rule_out,rule_2,192,0.025640462100041374,9,0.046875,9,9
cold,leave_one_rule_out,rule_3,192,0.028460165919035323,11,0.057291666666666664,13,11
cold,leave_one_rule_out,rule_4,192,0.023130649460812842,4,0.020833333333333332,4,4
cold,leave_one_rule_out,rule_5,192,0.02589080217006026,9,0.046875,9,9
cold,leave_one_rule_out,rule_6,192,0.027334763979419637,9,0.046875,9,9
cold,leave_one_rule_out,rule_7,192,0.024493438067970892,5,0.026041666666666668,5,5
cold,leave_one_rule_out,rule_8,192,0.03266974450447393,9,0.046875,9,9
