dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,CSR_DIRECT,1.070694,0.0,1.083597,1.083597,1.212104,2.433707,1.070694,1.083597,1.132072,2.245952,1.0,1.0,True,False,False,7.62939453125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,RODE_ENHANCED,1.068134,3.213607,1.100557,4.314164,1.212104,2.433707,1.070694,1.083597,1.134786,0.56412,1.002397,0.251172,True,False,False,5.7220458984375e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,ZERO_OVERHEAD_CSR,1.152149,1.647671,1.175482,2.823153,1.212104,2.433707,1.070694,1.083597,1.052038,0.862053,0.929302,0.383825,True,False,False,7.62939453125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,TC_DIRECT,1.135063,94.101621,1.22368,95.325301,1.212104,2.433707,1.070694,1.083597,1.067873,0.025531,0.943291,0.011367,True,False,False,7.62939453125e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,COMMUNITY_TC,1.139988,363.462875,1.225011,364.687886,1.212104,2.433707,1.070694,1.083597,1.06326,0.006673,0.939215,0.002971,True,False,False,7.62939453125e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,SEGMENT_HYBRID,1.282529,8.026974,1.361987,9.388961,1.212104,2.433707,1.070694,1.083597,0.945088,0.259209,0.83483,0.115412,True,False,False,5.7220458984375e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,CUSPARSE,1.212104,1.215575,1.218131,2.433707,1.212104,2.433707,1.070694,1.083597,1.0,1.0,0.883336,0.445245,True,False,False,0.0,0.0,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,CSR_DIRECT,2.200689,0.0,2.213274,2.213274,2.505288,3.752513,2.200689,2.213274,1.138411,1.695459,1.0,1.0,True,False,False,8.58306884765625e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,RODE_ENHANCED,2.221199,3.114917,2.254848,5.369765,2.505288,3.752513,2.200689,2.213274,1.127899,0.698823,0.990766,0.412173,True,False,False,5.7220458984375e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,ZERO_OVERHEAD_CSR,2.230303,1.651644,2.256563,3.908207,2.505288,3.752513,2.200689,2.213274,1.123295,0.960162,0.986722,0.566314,True,False,False,8.58306884765625e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,TC_DIRECT,2.325099,94.260369,2.412134,96.672504,2.505288,3.752513,2.200689,2.213274,1.077497,0.038817,0.946492,0.022895,True,False,False,8.58306884765625e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,COMMUNITY_TC,2.33729,380.526977,2.417152,382.944129,2.505288,3.752513,2.200689,2.213274,1.071877,0.009799,0.941556,0.00578,True,False,False,8.58306884765625e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,SEGMENT_HYBRID,2.566124,7.728181,2.633667,10.361849,2.505288,3.752513,2.200689,2.213274,0.976293,0.362147,0.857593,0.213598,True,False,False,5.7220458984375e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,CUSPARSE,2.505288,1.238286,2.514227,3.752513,2.505288,3.752513,2.200689,2.213274,1.0,1.0,0.878418,0.589811,True,False,False,0.0,0.0,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,CSR_DIRECT,4.496425,0.0,4.519219,4.519219,4.987761,6.390578,4.496425,4.519219,1.109273,1.414089,1.0,1.0,True,False,False,7.62939453125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,RODE_ENHANCED,4.548234,3.10957,4.585533,7.695103,4.987761,6.390578,4.496425,4.519219,1.096637,0.830473,0.988609,0.587285,True,False,False,5.7220458984375e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,ZERO_OVERHEAD_CSR,4.504402,1.654886,4.528083,6.182969,4.987761,6.390578,4.496425,4.519219,1.107308,1.033578,0.998229,0.730914,True,False,False,7.62939453125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,TC_DIRECT,4.743757,100.339145,4.826522,105.165666,4.987761,6.390578,4.496425,4.519219,1.051437,0.060767,0.947862,0.042972,True,False,False,7.62939453125e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,COMMUNITY_TC,4.77142,392.4911,4.854374,397.345475,4.987761,6.390578,4.496425,4.519219,1.045341,0.016083,0.942366,0.011374,True,False,False,7.62939453125e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,SEGMENT_HYBRID,5.206175,8.161923,5.292531,13.454454,4.987761,6.390578,4.496425,4.519219,0.958047,0.474979,0.863671,0.33589,True,False,False,5.7220458984375e-06,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,CUSPARSE,4.987761,1.393049,4.99753,6.390578,4.987761,6.390578,4.496425,4.519219,1.0,1.0,0.901492,0.707169,True,False,False,0.0,0.0,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,512,18.113545,0.929948,60,CSR_DIRECT,9.075871,0.0,9.094656,9.094656,9.957253,11.422309,9.075871,9.094656,1.097113,1.255936,1.0,1.0,True,False,False,8.58306884765625e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,512,18.113545,0.929948,60,RODE_ENHANCED,9.163433,3.712337,9.206198,12.918535,9.957253,11.422309,9.075871,9.094656,1.086629,0.88418,0.990444,0.704001,True,False,False,5.7220458984375e-06,0.007745966692414835,
