dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,CSR_DIRECT,1.075046,0.0,1.084314,1.084314,1.212314,2.4057,1.075046,1.084314,1.127685,2.218639,1.0,1.0,True,False,False,7.62939453125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,RODE_ENHANCED,1.068344,2.987959,1.099382,4.087342,1.212314,2.4057,1.075046,1.084314,1.134759,0.588573,1.006273,0.265286,True,False,False,4.76837158203125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,ZERO_OVERHEAD_CSR,1.080996,1.905173,1.10511,3.010284,1.212314,2.4057,1.075046,1.084314,1.121479,0.799161,0.994496,0.360203,True,False,False,7.62939453125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,TC_DIRECT,0.689864,80.645882,0.947882,81.593763,1.212314,2.4057,1.075046,1.084314,1.757324,0.029484,1.558346,0.013289,True,False,False,0.0070923566818237305,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,COMMUNITY_TC,0.719744,98.413339,0.95529,99.368629,1.212314,2.4057,1.075046,1.084314,1.684368,0.02421,1.493651,0.010912,True,False,False,0.0070923566818237305,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,SEGMENT_HYBRID,0.750218,80.803828,0.991043,81.794872,1.212314,2.4057,1.075046,1.084314,1.615948,0.029411,1.432978,0.013256,True,False,False,0.0070923566818237305,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,64,18.113545,0.929948,60,CUSPARSE,1.212314,1.187895,1.217805,2.4057,1.212314,2.4057,1.075046,1.084314,1.0,1.0,0.886772,0.450727,True,False,False,0.0,0.0,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,CSR_DIRECT,2.190141,0.0,2.199552,2.199552,2.505155,3.770219,2.190141,2.199552,1.143832,1.714085,1.0,1.0,True,False,False,8.58306884765625e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,RODE_ENHANCED,2.221681,2.984586,2.25209,5.236675,2.505155,3.770219,2.190141,2.199552,1.127594,0.719964,0.985804,0.420028,True,False,False,5.7220458984375e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,ZERO_OVERHEAD_CSR,2.19349,1.89534,2.216131,4.111471,2.505155,3.770219,2.190141,2.199552,1.142086,0.917,0.998473,0.534979,True,False,False,8.58306884765625e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,TC_DIRECT,1.384888,80.692184,1.650851,82.343035,2.505155,3.770219,2.190141,2.199552,1.808922,0.045787,1.581457,0.026712,True,False,False,0.007093846797943115,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,COMMUNITY_TC,1.445811,102.313718,1.626368,103.940086,2.505155,3.770219,2.190141,2.199552,1.732698,0.036273,1.514818,0.021162,True,False,False,0.0070934295654296875,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,SEGMENT_HYBRID,1.502997,80.808122,1.672336,82.480458,2.505155,3.770219,2.190141,2.199552,1.666773,0.04571,1.457183,0.026668,True,False,False,0.007093846797943115,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,128,18.113545,0.929948,60,CUSPARSE,2.505155,1.256616,2.513603,3.770219,2.505155,3.770219,2.190141,2.199552,1.0,1.0,0.874254,0.583402,True,False,False,0.0,0.0,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,CSR_DIRECT,4.46185,0.0,4.477542,4.477542,4.987013,6.392036,4.46185,4.477542,1.117701,1.427577,1.0,1.0,True,False,False,7.62939453125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,RODE_ENHANCED,4.537185,3.117766,4.578038,7.695804,4.987013,6.392036,4.46185,4.477542,1.099143,0.830587,0.983396,0.581816,True,False,False,5.7220458984375e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,ZERO_OVERHEAD_CSR,4.458179,1.909945,4.485126,6.395071,4.987013,6.392036,4.46185,4.477542,1.118621,0.999525,1.000823,0.700155,True,False,False,7.62939453125e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,TC_DIRECT,2.790385,91.025366,3.078832,94.104198,4.987013,6.392036,4.46185,4.477542,1.787214,0.067925,1.599009,0.047581,True,False,False,0.007486581802368164,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,COMMUNITY_TC,2.917924,108.189476,3.005616,111.195092,4.987013,6.392036,4.46185,4.477542,1.709096,0.057485,1.529118,0.040267,True,False,False,0.007486581802368164,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,SEGMENT_HYBRID,3.022694,89.122692,3.112816,92.235508,4.987013,6.392036,4.46185,4.477542,1.649857,0.069301,1.476117,0.048545,True,False,False,0.007486581802368164,0.07745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,256,18.113545,0.929948,60,CUSPARSE,4.987013,1.39635,4.995687,6.392036,4.987013,6.392036,4.46185,4.477542,1.0,1.0,0.894694,0.700488,True,False,False,0.0,0.0,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,512,18.113545,0.929948,60,CSR_DIRECT,8.998999,0.0,9.022157,9.022157,9.956024,11.450767,8.998999,9.022157,1.106348,1.269183,1.0,1.0,True,False,False,8.58306884765625e-06,0.007745966692414835,
synth_sparse_skewed_cv1p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,200000,200000,3622709,512,18.113545,0.929948,60,RODE_ENHANCED,9.162962,3.062507,9.199808,12.262315,9.956024,11.450767,8.998999,9.022157,1.086551,0.933818,0.982106,0.735763,True,False,False,6.67572021484375e-06,0.007745966692414835,
