dataset,M,nnz,preproc_ms
roadNet-CA,1971281,5533214,14.214643
roadNet-PA,1090920,3083796,3.526432
roadNet-TX,1393383,3843320,14.42824
Amazon0601,403394,3387388,10.034859
web-Google,916428,5105039,12.191912
web-Stanford,281904,2312497,14.887015
ogbn-arxiv,169343,1166243,2.049181
ca-GrQc,5242,28980,0.436296
ca-HepTh,9877,51971,0.448632
ca-CondMat,23133,186936,1.216171
com-Amazon,334863,1851744,5.092038
Cora,2708,10556,0.342657
CiteSeer,3327,9104,0.290518
PPI,1767,32318,0.702718
synth_sparse_skewed_cv1p5,200000,3622709,5.384988
synth_community_nc10,200000,1089063,2.722482
synth_community_nc50,200000,1098216,2.718684
synth_community_nc100,200000,1098420,2.669064
synth_community_nc500,200000,1100450,2.66666
synth_community_nc1000,200000,1101854,2.741917
synth_dense_small_d30,10000,300000,2.125235
synth_dense_small_d50,10000,500000,2.432191
synth_sparse_uniform_d3,300000,900000,2.41418
synth_sparse_uniform_d5,300000,1500000,2.942737
synth_sparse_uniform_d8,300000,2400000,3.920601
synth_sparse_uniform_d12,300000,3600000,5.136718
synth_sparse_uniform_d18,300000,5400000,7.22502
