dataset,M,nnz,conversion_ms,runtime_setup_ms,preprocess_ms,cold_exec_ms,ms_cold,cold_iters
roadNet-PA,1090920,3083796,2643.826886,3771.711438,6415.538324,1.187318,6416.725643,10
roadNet-TX,1393383,3843320,3441.590183,4834.126014,8275.716198,1.435597,8277.151794,10
Amazon0601,403394,3387388,2258.620588,1691.980272,3950.600861,0.88513,3951.48599,10
web-Stanford,281904,2312497,1871.63245,1290.039094,3161.671544,0.733411,3162.404955,10
ogbn-arxiv,169343,1166243,882.802022,809.478578,1692.2806,0.535728,1692.816328,10
twitter-combined,81306,1768149,1018.016029,536.348317,1554.364346,0.493674,1554.85802,10
ca-GrQc,5242,28980,232.705114,118.029361,350.734475,0.233718,350.968194,10
ca-HepTh,9877,51971,232.845393,136.347074,369.192467,0.240547,369.433014,10
ca-CondMat,23133,186936,338.284406,200.009128,538.293534,0.283869,538.577403,10
amazon-computers,13752,491722,434.430804,204.184119,638.614923,0.648794,639.263717,10
amazon-photo,7650,238162,318.166611,153.043147,471.209758,0.429658,471.639415,10
com-DBLP,317080,2099732,1676.732389,1342.906664,3019.639054,0.768141,3020.407194,10
com-Amazon,334863,1851744,1643.260846,1377.061404,3020.322249,0.85985,3021.182099,10
Cora,2708,10556,222.045621,112.640653,334.686274,0.234189,334.920463,10
CiteSeer,3327,9104,230.189648,113.538036,343.727684,0.236237,343.96392,10
PPI,1767,32318,238.218698,111.776894,349.995592,0.255018,350.25061,10
Flickr,89250,899756,901.433074,528.115282,1429.548356,1.310163,1430.85852,10
synth_sparse_skewed_cv1p5,200000,3622709,3764.777026,1209.219992,4973.997018,0.96863,4974.965649,10
synth_community_nc10,200000,1089063,940.705281,876.54563,1817.250911,0.487197,1817.738108,10
synth_community_nc50,200000,1098216,961.414187,888.620541,1850.034728,0.473622,1850.50835,10
synth_community_nc100,200000,1098420,884.953566,869.99117,1754.944736,0.469174,1755.413911,10
synth_community_nc500,200000,1100450,870.160104,861.298935,1731.459039,0.459373,1731.918412,10
synth_community_nc1000,200000,1101854,821.476271,850.548843,1672.025114,0.463866,1672.48898,10
synth_mixed_v1,200000,4001390,4214.755371,1328.338548,5543.093919,1.163744,5544.257663,10
synth_dense_small_d30,10000,300000,367.657803,169.073937,536.73174,0.266019,536.99776,10
synth_dense_small_d50,10000,500000,438.29687,195.921622,634.218493,0.286938,634.50543,10
synth_dense_small_d70,10000,700000,581.526254,229.382136,810.90839,0.312736,811.221126,10
synth_dense_small_d90,10000,900000,654.966765,240.639922,895.606687,0.335296,895.941983,10
synth_dense_small_d120,10000,1200000,835.023502,281.881333,1116.904835,0.359315,1117.26415,10
synth_sparse_uniform_d3,300000,900000,771.175203,1107.402936,1878.578139,0.579594,1879.157732,10
synth_sparse_uniform_d5,300000,1500000,1105.251631,1194.21271,2299.464341,0.690118,2300.15446,10
synth_sparse_uniform_d8,300000,2400000,2217.17427,1325.601964,3542.776234,0.826688,3543.602922,10
synth_sparse_uniform_d12,300000,3600000,3541.156195,1472.48102,5013.637214,1.00865,5014.645864,10
