dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,81306,81306,1768149,128,21.746845,1.700919,1205,RODE_ENHANCED,0.688015,1.608856,0.743776,2.352632,0.457318,1.770199,0.0,0.0,0.664692,0.752433,,,True,False,False,0.00014495849609375,0.034713109915419565,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,81306,81306,1768149,128,21.746845,1.700919,1205,SEGMENT_HYBRID,0.715868,7.651961,0.781856,8.433817,0.457318,1.770199,0.0,0.0,0.63883,0.209893,,,True,False,False,0.009122848510742188,0.34713109915419565,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,81306,81306,1768149,128,21.746845,1.700919,1205,CUSPARSE,0.457318,1.305303,0.464896,1.770199,0.457318,1.770199,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,81306,81306,1768149,512,21.746845,1.700919,1205,RODE_ENHANCED,2.418611,1.703403,2.532256,4.235659,1.76085,3.222767,0.0,0.0,0.728042,0.760866,,,True,False,False,0.0001068115234375,0.034713109915419565,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,81306,81306,1768149,512,21.746845,1.700919,1205,SEGMENT_HYBRID,2.619715,7.683686,2.677568,10.361254,1.76085,3.222767,0.0,0.0,0.672153,0.31104,,,True,False,False,0.009523391723632812,0.34713109915419565,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,81306,81306,1768149,512,21.746845,1.700919,1205,CUSPARSE,1.76085,1.434863,1.787904,3.222767,1.76085,3.222767,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
amazon-photo,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,7650,7650,238162,128,31.132288,1.518504,1434,RODE_ENHANCED,0.189527,0.305688,0.226304,0.531992,0.060109,1.163186,0.0,0.0,0.317152,2.186473,,,True,False,False,8.7738037109375e-05,0.03786819245752297,
amazon-photo,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,7650,7650,238162,128,31.132288,1.518504,1434,SEGMENT_HYBRID,0.181837,0.528261,0.224256,0.752517,0.060109,1.163186,0.0,0.0,0.330565,1.545727,,,True,False,False,8.7738037109375e-05,0.37868192457522976,
amazon-photo,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,7650,7650,238162,128,31.132288,1.518504,1434,CUSPARSE,0.060109,1.096626,0.06656,1.163186,0.060109,1.163186,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
amazon-photo,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,7650,7650,238162,512,31.132288,1.518504,1434,RODE_ENHANCED,0.413025,0.289734,0.448512,0.738246,0.230159,2.132878,0.0,0.0,0.557252,2.889116,,,True,False,False,0.00012969970703125,0.03786819245752297,
