dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,81306,81306,1768149,128,21.746845,1.700919,1205,RODE_ENHANCED,0.673684,1.619225,0.72576,2.344985,0.454799,1.788343,0.0,0.0,0.675093,0.762624,,,True,False,False,0.00014495849609375,0.034713109915419565,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,81306,81306,1768149,128,21.746845,1.700919,1205,SEGMENT_HYBRID,0.707625,7.535097,0.770144,8.305241,0.454799,1.788343,0.0,0.0,0.642712,0.215327,,,True,False,False,0.009122848510742188,0.34713109915419565,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,81306,81306,1768149,128,21.746845,1.700919,1205,CUSPARSE,0.454799,1.319351,0.468992,1.788343,0.454799,1.788343,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,81306,81306,1768149,512,21.746845,1.700919,1205,RODE_ENHANCED,2.3857,1.638248,2.458208,4.096456,1.770301,3.429351,0.0,0.0,0.742047,0.837151,,,True,False,False,0.00011444091796875,0.034713109915419565,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,81306,81306,1768149,512,21.746845,1.700919,1205,SEGMENT_HYBRID,2.586962,7.564743,2.6632,10.227943,1.770301,3.429351,0.0,0.0,0.684317,0.335292,,,True,False,False,0.009524345397949219,0.34713109915419565,
twitter-combined,Sparse Skewed,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,81306,81306,1768149,512,21.746845,1.700919,1205,CUSPARSE,1.770301,1.630183,1.799168,3.429351,1.770301,3.429351,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
amazon-photo,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,7650,7650,238162,128,31.132288,1.518504,1434,RODE_ENHANCED,0.205215,0.28555,0.238592,0.524142,0.059914,1.173067,0.0,0.0,0.291959,2.238071,,,True,False,False,9.1552734375e-05,0.03786819245752297,
amazon-photo,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,7650,7650,238162,128,31.132288,1.518504,1434,SEGMENT_HYBRID,0.198866,0.529348,0.244736,0.774084,0.059914,1.173067,0.0,0.0,0.30128,1.515426,,,True,False,False,9.1552734375e-05,0.37868192457522976,
amazon-photo,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,7650,7650,238162,128,31.132288,1.518504,1434,CUSPARSE,0.059914,1.107531,0.065536,1.173067,0.059914,1.173067,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
amazon-photo,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,7650,7650,238162,512,31.132288,1.518504,1434,RODE_ENHANCED,0.430152,0.286561,0.464896,0.751457,0.230221,1.503861,0.0,0.0,0.535208,2.00126,,,True,False,False,0.00012969970703125,0.03786819245752297,
