dataset,N,kernel,strict_correct_before,strict_correct_after,warm_ms_before,warm_ms_after,warm_speedup_before_over_after,primary_kernel_us_before,primary_kernel_us_after,kernel_speedup_before_over_after,occupancy_pct_before,occupancy_pct_after,dram_pct_before,dram_pct_after,barrier_stall_before,barrier_stall_after,long_scoreboard_before,long_scoreboard_after
Flickr,128,RODE_ENHANCED,True,True,1.395671,1.384852,1.007812387172059,1016.7040000000001,,,38.142672,,2.934668,,70.286754,,9.798389,
Flickr,128,SEGMENT_HYBRID,True,True,1.394929,1.384484,1.0075443269839162,1017.12,,,38.015729,,2.942377,,70.224031,,9.764316,
Flickr,512,RODE_ENHANCED,True,True,3.438602,3.428403,1.0029748544730595,1816.0320000000002,,,96.308912,,93.845415,,0.0,,126.207801,
Flickr,512,SEGMENT_HYBRID,True,True,3.437932,3.427927,1.0029186735890234,1817.1200000000001,,,96.380909,,93.790303,,0.0,,126.449209,
amazon-photo,128,RODE_ENHANCED,True,True,0.205215,0.189527,1.082774485957146,171.232,164.096,1.0434867394695788,28.953465,7.251749,1.843789,1.926491,51.879206,9.920688,7.485891,9.196184
amazon-photo,128,SEGMENT_HYBRID,True,True,0.198866,0.181837,1.09364980724495,171.264,164.992,1.0380139643134214,28.919328,7.257407,1.838337,1.918669,51.748346,9.911073,7.287482,9.196699
amazon-photo,512,RODE_ENHANCED,True,True,0.430152,0.413025,1.0414672235336844,198.56,198.4,1.0008064516129032,29.458102,18.482435,6.44809,6.497599,15.274438,4.275693,12.47296,13.10819
amazon-photo,512,SEGMENT_HYBRID,True,True,0.42839,0.411663,1.0406327505751063,199.776,198.304,1.0074229465870583,29.471085,18.428792,6.455492,6.483886,15.283777,4.315059,12.469475,13.027753
synth_mixed_v3,128,RODE_ENHANCED,True,True,3.74721,3.561723,1.0520778847765533,1771.8400000000001,1770.72,1.0006325110689438,33.59427,33.557483,93.866604,93.872431,0.0,0.0,44.946163,44.958837
synth_mixed_v3,128,SEGMENT_HYBRID,True,True,3.749688,3.563351,1.0522926312900414,1772.288,1772.384,0.9999458356654088,33.54988,33.577134,93.884348,93.886078,0.0,0.0,44.928276,44.954332
synth_mixed_v3,512,RODE_ENHANCED,True,True,14.929214,14.881141,1.0032304646532144,7201.248,7201.92,0.9999066915489202,97.109855,97.480198,94.617865,94.65115,0.0,0.0,154.270264,154.922786
synth_mixed_v3,512,SEGMENT_HYBRID,True,True,14.929081,14.87999,1.0032991285612423,7200.768,7201.568,0.9998889130811512,96.409294,97.282112,94.60969,94.594614,0.0,0.0,155.936327,156.197968
synth_sparse_skewed_cv2p5,128,RODE_ENHANCED,True,True,6.379269,6.235013,1.0231364393305995,2945.376,,,33.228492,,94.560596,,0.0,,56.247641,
synth_sparse_skewed_cv2p5,128,SEGMENT_HYBRID,True,True,6.379822,6.238275,1.0226900866024662,2945.376,,,33.23424,,94.535555,,0.0,,56.279591,
synth_sparse_skewed_cv2p5,512,RODE_ENHANCED,True,True,26.078157,26.040479,1.0014469011879543,12126.144,,,97.387951,,95.070241,,0.0,,181.826301,
synth_sparse_skewed_cv2p5,512,SEGMENT_HYBRID,True,True,26.078945,26.040391,1.0014805461254404,12123.552,,,97.683914,,95.063237,,0.0,,182.144666,
twitter-combined,128,RODE_ENHANCED,True,True,0.673684,0.688015,0.9791705122708079,252.768,252.192,1.00228397411496,33.889112,33.844146,70.015856,70.142719,0.0,0.0,17.892178,17.905333
twitter-combined,128,SEGMENT_HYBRID,True,True,0.707625,0.715868,0.9884853073471646,243.872,244.608,0.9969911041339613,33.877846,33.894928,70.98577,71.007975,0.0,0.0,17.968212,17.981575
twitter-combined,512,RODE_ENHANCED,True,True,2.3857,2.418611,0.9863926030271094,965.696,964.0,1.0017593360995851,95.856286,96.000116,86.967885,86.784392,0.0,0.0,65.128337,64.997492
twitter-combined,512,SEGMENT_HYBRID,True,True,2.586962,2.619715,0.9874974949565126,945.856,944.928,1.0009820854075655,94.304089,94.645964,87.551801,87.327333,0.0,0.0,66.042518,66.521868
