dataset,category,M,nnz,d_bar,cv_d,production_4_cpu_input_ms,production_4_gpu_input_ms,production_4_backend,lightweight_cpu_ms,lightweight_gpu_kernel_ms,lightweight_gpu_with_h2d_ms,lightweight_speedup_kernel_only,lightweight_speedup_with_h2d,lightweight_cpu_gpu_match
roadNet-CA,Sparse Uniform,1971281,5533214,2.8069,0.3581,5.3441,5.8168,OpenMP CPU; GPU input copies rowptr only,16.4758,0.03518,1.60887,468.27,10.24,True
roadNet-PA,Sparse Uniform,1090920,3083796,2.8268,0.3629,3.4397,3.5413,OpenMP CPU; GPU input copies rowptr only,4.2423,0.02292,0.95582,185.12,4.44,True
roadNet-TX,Sparse Uniform,1393383,3843320,2.7583,0.376,3.7534,3.5662,OpenMP CPU; GPU input copies rowptr only,6.2231,0.02652,1.16836,234.64,5.33,True
Amazon0601,Sparse Uniform,403394,3387388,8.3972,0.3322,3.3742,2.76,OpenMP CPU; GPU input copies rowptr only,0.8878,0.01581,0.41097,56.15,2.16,True
web-Google,Sparse Uniform,916428,5105039,5.5706,1.177,5.3051,4.8077,OpenMP CPU; GPU input copies rowptr only,2.6179,0.02097,0.8039,124.83,3.26,True
web-Stanford,Sparse Uniform,281904,2312497,8.2031,1.3789,4.415,4.2995,OpenMP CPU; GPU input copies rowptr only,0.5935,0.01483,0.35617,40.03,1.67,True
ogbn-arxiv,Sparse Uniform,169343,1166243,6.8869,1.2893,3.2421,3.3582,OpenMP CPU; GPU input copies rowptr only,0.3654,0.01423,0.23187,25.67,1.58,True
Yelp,Sparse Uniform,716847,13954819,19.4669,3.6405,3.0022,2.8136,OpenMP CPU; GPU input copies rowptr only,2.0593,0.01923,0.67596,107.08,3.05,True
twitter-combined,Sparse Skewed,81306,1768149,21.7468,1.7009,0.1084,0.229,OpenMP CPU; GPU input copies rowptr only,0.1506,0.01473,0.12665,10.23,1.19,True
soc-Pokec,Sparse Skewed,1632803,30622564,18.7546,1.7138,3.1837,3.671,OpenMP CPU; GPU input copies rowptr only,7.9845,0.03041,1.36342,262.54,5.86,True
ca-GrQc,Dense Small,5242,28980,5.5284,1.4322,0.0221,0.043,OpenMP CPU; GPU input copies rowptr only,0.013,0.0146,0.03627,0.89,0.36,True
ca-HepTh,Dense Small,9877,51971,5.2618,1.1757,0.0265,0.0544,OpenMP CPU; GPU input copies rowptr only,0.0187,0.01483,0.04422,1.26,0.42,True
ca-CondMat,Dense Small,23133,186936,8.0809,1.3162,0.0433,0.086,OpenMP CPU; GPU input copies rowptr only,0.0377,0.01538,0.05997,2.45,0.63,True
amazon-computers,Dense Small,13752,491722,35.7564,1.9662,0.0361,0.0663,OpenMP CPU; GPU input copies rowptr only,0.0274,0.01546,0.05208,1.77,0.53,True
amazon-photo,Dense Small,7650,238162,31.1323,1.5185,0.0261,0.0527,OpenMP CPU; GPU input copies rowptr only,0.0179,0.01583,0.03992,1.13,0.45,True
gplus-combined,Dense Large-Scale,107614,13673453,127.0602,2.74,0.1375,0.2981,OpenMP CPU; GPU input copies rowptr only,0.2065,0.0145,0.15479,14.24,1.33,True
Reddit,Dense Large-Scale,232965,114615892,491.9876,1.6257,0.0771,0.3245,OpenMP CPU; GPU input copies rowptr only,0.4849,0.01438,0.30833,33.73,1.57,True
ogbn-products,Dense Large-Scale,2449029,123718152,50.5172,1.8985,2.934,3.475,OpenMP CPU; GPU input copies rowptr only,12.0146,0.04076,1.949,294.8,6.16,True
ogbn-proteins,Dense Large-Scale,132534,79122504,596.9978,1.041,0.0771,1.1811,OpenMP CPU; GPU input copies rowptr only,0.2658,0.01425,0.18702,18.65,1.42,True
com-DBLP,Community,317080,2099732,6.6221,1.5113,0.0975,0.6614,OpenMP CPU; GPU input copies rowptr only,0.663,0.01518,0.36766,43.69,1.8,True
com-Amazon,Community,334863,1851744,5.5299,1.0419,0.1583,0.4784,OpenMP CPU; GPU input copies rowptr only,0.7019,0.01495,0.37722,46.95,1.86,True
com-youtube,Community,1157828,5975248,5.1607,9.7378,0.2252,1.6685,OpenMP CPU; GPU input copies rowptr only,4.2497,0.02419,0.98271,175.7,4.32,True
Cora,Mixed/Irregular,2708,10556,3.8981,1.3411,0.0184,0.0381,OpenMP CPU; GPU input copies rowptr only,0.011,0.01462,0.03322,0.75,0.33,True
CiteSeer,Mixed/Irregular,3327,9104,2.7364,1.2355,0.0195,0.04,OpenMP CPU; GPU input copies rowptr only,0.0118,0.01393,0.03404,0.84,0.35,True
PPI,Mixed/Irregular,1767,32318,18.2898,1.4544,0.0187,0.0376,OpenMP CPU; GPU input copies rowptr only,0.0088,0.01501,0.0317,0.59,0.28,True
Flickr,Mixed/Irregular,89250,899756,10.0813,3.1493,0.117,0.2487,OpenMP CPU; GPU input copies rowptr only,0.1779,0.01419,0.13457,12.54,1.32,True
synth_sparse_skewed_cv1p5,Sparse Skewed,200000,3622709,18.1135,0.9299,0.0714,2.4199,OpenMP CPU; GPU input copies rowptr only,0.4222,0.01462,0.26819,28.88,1.57,True
synth_sparse_skewed_cv2p0,Sparse Skewed,200000,6166484,30.8324,0.9326,2.6249,2.6753,OpenMP CPU; GPU input copies rowptr only,0.424,0.0147,0.26804,28.83,1.58,True
synth_sparse_skewed_cv2p5,Sparse Skewed,200000,10306672,51.5334,0.9087,0.0761,0.2886,OpenMP CPU; GPU input copies rowptr only,0.4204,0.01391,0.26552,30.23,1.58,True
synth_sparse_skewed_cv3p0,Sparse Skewed,200000,16207364,81.0368,0.874,0.0688,0.2852,OpenMP CPU; GPU input copies rowptr only,0.419,0.01481,0.27011,28.29,1.55,True
synth_sparse_skewed_cv4p0,Sparse Skewed,200000,25191428,125.9571,0.8526,0.0735,0.29,OpenMP CPU; GPU input copies rowptr only,0.4219,0.01419,0.26743,29.73,1.58,True
synth_community_nc10,Community,200000,1089063,5.4453,0.4198,0.0707,2.6969,OpenMP CPU; GPU input copies rowptr only,0.4194,0.01415,0.26993,29.63,1.55,True
synth_community_nc50,Community,200000,1098216,5.4911,0.4169,3.0507,2.943,OpenMP CPU; GPU input copies rowptr only,0.4331,0.01436,0.26853,30.17,1.61,True
synth_community_nc100,Community,200000,1098420,5.4921,0.4163,0.0701,0.2905,OpenMP CPU; GPU input copies rowptr only,0.4168,0.01454,0.26573,28.66,1.57,True
synth_community_nc500,Community,200000,1100450,5.5022,0.4142,2.5321,2.5817,OpenMP CPU; GPU input copies rowptr only,0.4115,0.01425,0.26663,28.87,1.54,True
synth_community_nc1000,Community,200000,1101854,5.5093,0.4118,0.0698,0.2891,OpenMP CPU; GPU input copies rowptr only,0.4395,0.017,0.27544,25.86,1.6,True
synth_mixed_v1,Mixed/Irregular,200000,4001390,20.007,2.1333,1.1432,2.4821,OpenMP CPU; GPU input copies rowptr only,0.4228,0.01464,0.26814,28.87,1.58,True
synth_mixed_v2,Mixed/Irregular,200000,5457270,27.2864,2.362,1.6772,0.2635,OpenMP CPU; GPU input copies rowptr only,0.4134,0.01366,0.26806,30.27,1.54,True
synth_mixed_v3,Mixed/Irregular,200000,5576937,27.8847,1.8881,0.0698,0.289,OpenMP CPU; GPU input copies rowptr only,0.4196,0.01432,0.26778,29.31,1.57,True
synth_mixed_v4,Mixed/Irregular,200000,7410217,37.0511,2.3179,0.0696,0.2876,OpenMP CPU; GPU input copies rowptr only,0.4168,0.01495,0.26933,27.88,1.55,True
synth_mixed_v5,Mixed/Irregular,200000,7276677,36.3834,2.0472,0.0692,0.2813,OpenMP CPU; GPU input copies rowptr only,0.4205,0.01425,0.26878,29.5,1.56,True
synth_dense_small_d30,Dense Small,10000,300000,30.0,0.0,0.0292,0.0575,OpenMP CPU; GPU input copies rowptr only,0.021,0.01526,0.04397,1.38,0.48,True
synth_dense_small_d50,Dense Small,10000,500000,50.0,0.0,0.0287,0.0558,OpenMP CPU; GPU input copies rowptr only,0.0214,0.01534,0.04481,1.39,0.48,True
synth_dense_small_d70,Dense Small,10000,700000,70.0,0.0,0.0287,0.0561,OpenMP CPU; GPU input copies rowptr only,0.0214,0.01548,0.04405,1.38,0.49,True
synth_dense_small_d90,Dense Small,10000,900000,90.0,0.0,0.0286,0.057,OpenMP CPU; GPU input copies rowptr only,0.0209,0.01542,0.04403,1.36,0.48,True
synth_dense_small_d120,Dense Small,10000,1200000,120.0,0.0,0.0289,0.0607,OpenMP CPU; GPU input copies rowptr only,0.0212,0.01548,0.04446,1.37,0.48,True
synth_sparse_uniform_d3,Sparse Uniform,300000,900000,3.0,0.0,0.0932,0.6929,OpenMP CPU; GPU input copies rowptr only,0.6278,0.01573,0.36321,39.91,1.73,True
synth_sparse_uniform_d5,Sparse Uniform,300000,1500000,5.0,0.0,1.2596,0.343,OpenMP CPU; GPU input copies rowptr only,0.6287,0.01548,0.3643,40.61,1.73,True
synth_sparse_uniform_d8,Sparse Uniform,300000,2400000,8.0,0.0,0.092,1.2561,OpenMP CPU; GPU input copies rowptr only,0.6321,0.01528,0.36043,41.37,1.75,True
synth_sparse_uniform_d12,Sparse Uniform,300000,3600000,12.0,0.0,2.2645,0.3576,OpenMP CPU; GPU input copies rowptr only,0.6311,0.01534,0.36534,41.14,1.73,True
synth_sparse_uniform_d18,Sparse Uniform,300000,5400000,18.0,0.0,0.0998,1.0115,OpenMP CPU; GPU input copies rowptr only,0.6343,0.0152,0.36391,41.74,1.74,True
