dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
amazon-photo,Dense Small,False,RODE_ENHANCED,128,1,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::rode_long_pipelined_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",164.096,0.0,7.251749,1.926491,0.924436,6.107171,2872448.0,10444800.0,63.65054602184087,0.1788941709439035,3.6362015952943274,0,CUDA-core counters; HMMA reported separately,9.920688,0.053581,0.106073,0.006688,0.350219,0.0,9.196184,0.018354,0.0,0.0,0.000509,0.037049,0.010334,1.000004,0.195588,0.0,0.0,1.592762
amazon-photo,Dense Small,False,RODE_ENHANCED,512,1,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::rode_long_pipelined_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",198.4,0.0,18.482435,6.497599,2.90784,20.1768,11679360.0,41779200.0,210.5806451612903,0.5918511668389272,3.5771823113595267,0,CUDA-core counters; HMMA reported separately,4.275693,0.033734,0.118918,0.007816,0.230939,1.8e-05,13.10819,0.046296,0.0,0.001271,0.000321,0.033077,0.055387,0.999966,0.201534,0.0,0.0,1.576303
amazon-photo,Dense Small,False,SEGMENT_HYBRID,128,1,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::segment_hybrid_cuda_long_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",164.992,0.0,7.257407,1.918669,0.922358,6.097123,2867072.0,10444800.0,63.304887509697444,0.17792267428245487,3.6430197776686457,0,CUDA-core counters; HMMA reported separately,9.911073,0.053588,0.106051,0.006644,0.350022,0.0,9.196699,0.01854,0.0,1e-06,0.000522,0.036909,0.010337,1.000004,0.194648,0.0,0.0,1.592982
amazon-photo,Dense Small,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::segment_hybrid_cuda_long_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",198.304,0.0,18.428792,6.483886,2.896931,20.06607,11699328.0,41779200.0,210.6825883492012,0.5921376850736403,3.571076902878524,0,CUDA-core counters; HMMA reported separately,4.315059,0.033726,0.118461,0.007803,0.231054,2e-06,13.027753,0.045802,0.0,0.001291,0.00034,0.033161,0.055799,0.999979,0.202343,0.0,0.0,1.576543
synth_mixed_v3,Mixed/Irregular,True,RODE_ENHANCED,128,1,warm execute-only; plan built before NVTX range,3,True,"<unnamed>::rode_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",1770.72,0.0,33.557483,93.872431,9.718007,93.872431,1514043616.0,707305984.0,399.44541429475015,1.122668393183671,0.4671635457032963,0,CUDA-core counters; HMMA reported separately,0.0,0.113472,0.166182,0.091175,0.01281,0.001663,44.958837,0.049229,0.0,5.6e-05,0.007886,0.099883,0.066997,1.000002,0.357975,0.0,0.0,1.662655
synth_mixed_v3,Mixed/Irregular,True,RODE_ENHANCED,512,1,warm execute-only; plan built before NVTX range,3,True,"<unnamed>::rode_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",7201.92,0.0,97.480198,94.65115,8.994613,94.65115,6207539320.0,2829223936.0,392.84301075268814,1.104111890816999,0.45577221345736074,0,CUDA-core counters; HMMA reported separately,0.0,0.055333,0.183668,0.095417,0.004005,0.052463,154.922786,0.057979,0.0,0.002015,0.001498,0.04219,0.070073,0.999999,0.103864,0.0,0.0,1.391465
synth_mixed_v3,Mixed/Irregular,True,SEGMENT_HYBRID,128,1,warm execute-only; plan built before NVTX range,3,True,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",1772.384,0.0,33.577134,93.886078,9.72061,93.886078,1513856272.0,707305984.0,399.0703955801903,1.121614377684627,0.46722135851480623,0,CUDA-core counters; HMMA reported separately,0.0,0.113471,0.166193,0.091147,0.012898,0.001761,44.954332,0.04927,0.0,5.9e-05,0.007887,0.099878,0.067043,0.999998,0.357945,0.0,0.0,1.662713
synth_mixed_v3,Mixed/Irregular,True,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,3,True,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",7201.568,0.0,97.282112,94.594614,8.988764,94.594614,6207845840.0,2829223936.0,392.8622122293367,1.1041658578677254,0.4557497091454836,0,CUDA-core counters; HMMA reported separately,0.0,0.055332,0.183371,0.088438,0.003833,0.065076,156.197968,0.057814,0.0,0.002765,0.001514,0.042184,0.070676,1.0,0.101688,0.0,0.0,1.392137
twitter-combined,Sparse Skewed,False,RODE_ENHANCED,128,1,warm execute-only; plan built before NVTX range,3,True,"<unnamed>::rode_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",252.192,0.0,33.844146,70.142719,20.759319,87.201874,160178048.0,204717056.0,811.7507930465677,2.281480587539538,1.2780593755269136,0,CUDA-core counters; HMMA reported separately,0.0,0.127384,0.186869,0.109533,0.041769,0.004037,17.905333,0.09698,0.0,0.00036,0.006946,0.113189,0.166731,1.000006,0.42689,0.0,0.0,1.765655
twitter-combined,Sparse Skewed,False,RODE_ENHANCED,512,1,warm execute-only; plan built before NVTX range,3,True,"<unnamed>::rode_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",964.0,0.0,96.000116,86.784392,20.138672,90.587436,759743616.0,818868224.0,849.4483651452282,2.387432167355897,1.0778217898181062,0,CUDA-core counters; HMMA reported separately,0.0,0.057429,0.212464,0.119244,0.013234,0.157461,64.997492,0.118504,0.0,0.013961,0.001933,0.045516,0.182153,1.0,0.12777,0.0,0.0,1.456191
