dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,64,2.826785,0.36288,9,CSR_DIRECT,1.512858,0.0,1.531494,1.531494,1.399572,2.770158,1.512858,1.531494,0.925118,1.808794,1.0,1.0,True,False,False,9.5367431640625e-07,0.003,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,64,2.826785,0.36288,9,RODE_ENHANCED,2.17299,12.932586,2.256611,15.189197,1.399572,2.770158,1.512858,1.531494,0.644077,0.182377,0.69621,0.100828,True,False,False,9.5367431640625e-07,0.003,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,64,2.826785,0.36288,9,ZERO_OVERHEAD_CSR,1.674726,3.190622,1.717555,4.908178,1.399572,2.770158,1.512858,1.531494,0.835702,0.564397,0.903346,0.312029,True,False,False,9.5367431640625e-07,0.003,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,64,2.826785,0.36288,9,TC_DIRECT,1.152333,158.779931,1.237494,160.017425,1.399572,2.770158,1.512858,1.531494,1.214556,0.017312,1.312865,0.009571,True,False,False,9.5367431640625e-07,0.03,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,64,2.826785,0.36288,9,COMMUNITY_TC,1.161175,467.69243,1.24945,468.94188,1.399572,2.770158,1.512858,1.531494,1.205307,0.005907,1.302868,0.003266,True,False,False,0.002299070358276367,0.03,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,64,2.826785,0.36288,9,SEGMENT_HYBRID,2.206275,53.439523,2.273392,55.712915,1.399572,2.770158,1.512858,1.531494,0.63436,0.049722,0.685707,0.027489,True,False,False,9.5367431640625e-07,0.03,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,64,2.826785,0.36288,9,CUSPARSE,1.399572,1.362107,1.408051,2.770158,1.399572,2.770158,1.512858,1.531494,1.0,1.0,1.080943,0.552854,True,False,False,0.0,0.0,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,128,2.826785,0.36288,9,CSR_DIRECT,3.259274,0.0,3.280384,3.280384,3.025475,4.614676,3.259274,3.280384,0.928266,1.406749,1.0,1.0,True,False,False,9.5367431640625e-07,0.003,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,128,2.826785,0.36288,9,RODE_ENHANCED,3.462958,13.632781,3.544979,17.177761,3.025475,4.614676,3.259274,3.280384,0.873668,0.268642,0.941182,0.190967,True,False,False,9.5367431640625e-07,0.003,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,128,2.826785,0.36288,9,ZERO_OVERHEAD_CSR,3.524997,3.187821,3.574886,6.762707,3.025475,4.614676,3.259274,3.280384,0.858291,0.682371,0.924618,0.48507,True,False,False,9.5367431640625e-07,0.003,
