dataset,category,M,nnz,N,cublas_warm_ms,cusparse_warm_ms,router_kernel,router_warm_ms,densify_ms,cublas_cold_ms,cusparse_cold_ms,cublas_vs_cusparse_warm,cublas_vs_router_warm,cublas_vs_cusparse_cold
ca-GrQc,Dense Small,5242,28980,64,0.22742,0.01792,TC_DIRECT_TF32,0.00702,148.828,149.0558,1.2563,0.0788,0.0309,0.0084
ca-GrQc,Dense Small,5242,28980,128,0.34761,0.01965,TC_DIRECT_TF32,0.01058,148.828,149.176,1.2648,0.0565,0.0304,0.0085
ca-GrQc,Dense Small,5242,28980,256,0.64441,0.03431,TC_DIRECT_TF32,0.01824,148.828,149.4728,1.2316,0.0532,0.0283,0.0082
ca-GrQc,Dense Small,5242,28980,512,1.2825,0.06771,TC_DIRECT_TF32,0.0327,148.828,150.1109,1.2802,0.0528,0.0255,0.0085
ca-HepTh,Dense Small,9877,51971,64,0.83107,0.02127,TC_DIRECT_TF32,0.01064,0.991,1.8222,1.2514,0.0256,0.0128,0.6868
ca-HepTh,Dense Small,9877,51971,128,1.24004,0.03226,TC_DIRECT_TF32,0.02057,0.991,2.2311,1.2621,0.026,0.0166,0.5657
ca-HepTh,Dense Small,9877,51971,256,2.02267,0.07,TC_DIRECT_TF32,0.03557,0.991,3.0138,1.2741,0.0346,0.0176,0.4228
ca-HepTh,Dense Small,9877,51971,512,4.09839,0.12788,TC_DIRECT_TF32,0.06773,0.991,5.0895,1.2559,0.0312,0.0165,0.2468
ca-CondMat,Dense Small,23133,186936,64,4.37165,0.05354,TC_DIRECT_TF32,0.03577,2.952,7.3237,1.282,0.0122,0.0082,0.1751
ca-CondMat,Dense Small,23133,186936,128,6.41739,0.1047,TC_DIRECT_TF32,0.06459,2.952,9.3695,1.2967,0.0163,0.0101,0.1384
ca-CondMat,Dense Small,23133,186936,256,11.14669,0.19593,TC_DIRECT_TF32,0.1209,2.952,14.0988,1.332,0.0176,0.0108,0.0945
ca-CondMat,Dense Small,23133,186936,512,21.89153,0.38325,TC_DIRECT_TF32,0.23493,2.952,24.8436,1.5953,0.0175,0.0107,0.0642
amazon-photo,Dense Small,7650,238162,64,0.51061,0.04502,CUSPARSE,0.03592,2.569,3.0801,1.2284,0.0882,0.0703,0.3988
amazon-photo,Dense Small,7650,238162,128,0.84492,0.07399,SEGMENT_HYBRID,0.05697,2.569,3.4144,1.2905,0.0876,0.0674,0.378
amazon-photo,Dense Small,7650,238162,256,1.5289,0.1343,COMMUNITY_TC,0.09345,2.569,4.0984,1.3827,0.0878,0.0611,0.3374
amazon-photo,Dense Small,7650,238162,512,2.92852,0.25427,COMMUNITY_TC,0.16098,2.569,5.498,1.4677,0.0868,0.055,0.267
amazon-computers,Dense Small,13752,491722,64,1.56536,0.08166,CUSPARSE,0.06608,1.613,3.1788,1.3656,0.0522,0.0422,0.4296
amazon-computers,Dense Small,13752,491722,128,2.46759,0.13819,SEGMENT_HYBRID,0.1044,1.613,4.081,1.4111,0.056,0.0423,0.3458
amazon-computers,Dense Small,13752,491722,256,3.97011,0.25921,COMMUNITY_TC,0.19159,1.613,5.5836,1.6025,0.0653,0.0483,0.287
amazon-computers,Dense Small,13752,491722,512,8.54482,0.4836,COMMUNITY_TC,0.35117,1.613,10.1583,1.7796,0.0566,0.0411,0.1752
synth_dense_small_d30,Dense Small,10000,300000,64,0.87215,0.05507,TC_DIRECT,0.03327,2.782,3.654,1.2833,0.0631,0.0381,0.3512
synth_dense_small_d30,Dense Small,10000,300000,128,1.29774,0.09197,TC_DIRECT,0.05939,2.782,4.0796,1.2805,0.0709,0.0458,0.3139
synth_dense_small_d30,Dense Small,10000,300000,256,2.05066,0.16725,TC_DIRECT,0.11183,2.782,4.8325,1.3745,0.0816,0.0545,0.2844
synth_dense_small_d30,Dense Small,10000,300000,512,4.2054,0.3189,TC_DIRECT,0.22987,2.782,6.9873,1.5841,0.0758,0.0547,0.2267
synth_dense_small_d50,Dense Small,10000,500000,64,0.87553,0.08208,TC_DIRECT,0.04831,1.26,2.1352,1.2863,0.0937,0.0552,0.6024
synth_dense_small_d50,Dense Small,10000,500000,128,1.28608,0.14094,TC_DIRECT,0.08715,1.26,2.5458,1.4516,0.1096,0.0678,0.5702
synth_dense_small_d50,Dense Small,10000,500000,256,2.05452,0.25843,TC_DIRECT,0.16791,1.26,3.3142,1.4993,0.1258,0.0817,0.4524
synth_dense_small_d50,Dense Small,10000,500000,512,4.19635,0.49346,TC_DIRECT,0.35374,1.26,5.456,1.6844,0.1176,0.0843,0.3087
synth_dense_small_d70,Dense Small,10000,700000,64,0.87679,0.10661,TC_DIRECT,0.06295,1.27,2.1472,1.4705,0.1216,0.0718,0.6849
synth_dense_small_d70,Dense Small,10000,700000,128,1.29781,0.18402,TC_DIRECT,0.11263,1.27,2.5682,1.4034,0.1418,0.0868,0.5464
synth_dense_small_d70,Dense Small,10000,700000,256,2.05461,0.34296,TC_DIRECT,0.23233,1.27,3.325,1.5402,0.1669,0.1131,0.4632
synth_dense_small_d70,Dense Small,10000,700000,512,4.20709,0.66604,TC_DIRECT,0.47982,1.27,5.4775,1.887,0.1583,0.114,0.3445
synth_dense_small_d90,Dense Small,10000,900000,64,0.87981,0.13256,TC_DIRECT,0.07636,1.033,1.9123,1.409,0.1507,0.0868,0.7368
synth_dense_small_d90,Dense Small,10000,900000,128,1.29811,0.22899,TC_DIRECT,0.14038,1.033,2.3306,1.5052,0.1764,0.1081,0.6458
synth_dense_small_d90,Dense Small,10000,900000,256,2.05824,0.42912,TC_DIRECT,0.29073,1.033,3.0907,1.6201,0.2085,0.1413,0.5242
synth_dense_small_d90,Dense Small,10000,900000,512,4.21383,0.83542,TC_DIRECT,0.60245,1.033,5.2463,2.1039,0.1983,0.143,0.401
synth_dense_small_d120,Dense Small,10000,1200000,64,0.88378,0.16963,TC_DIRECT,0.09663,1.351,2.2349,1.4296,0.1919,0.1093,0.6397
synth_dense_small_d120,Dense Small,10000,1200000,128,1.29936,0.2939,TC_DIRECT,0.18969,1.351,2.6504,1.4848,0.2262,0.146,0.5602
synth_dense_small_d120,Dense Small,10000,1200000,256,2.05805,0.55756,TC_DIRECT,0.38116,1.351,3.4091,1.7542,0.2709,0.1852,0.5146
synth_dense_small_d120,Dense Small,10000,1200000,512,4.22294,1.08512,TC_DIRECT,0.78528,1.351,5.574,2.2716,0.257,0.186,0.4075
Cora,Mixed/Irregular,2708,10556,64,0.07758,0.01489,TC_DIRECT_TF32,0.00687,0.978,1.0556,1.0411,0.1919,0.0885,0.9862
Cora,Mixed/Irregular,2708,10556,128,0.10996,0.01538,TC_DIRECT_TF32,0.00768,0.978,1.088,1.0329,0.1399,0.0699,0.9494
Cora,Mixed/Irregular,2708,10556,256,0.20204,0.01872,TC_DIRECT_TF32,0.00995,0.978,1.18,1.1768,0.0926,0.0492,0.9972
Cora,Mixed/Irregular,2708,10556,512,0.39801,0.03499,TC_DIRECT_TF32,0.01896,0.978,1.376,1.2879,0.0879,0.0476,0.9359
CiteSeer,Mixed/Irregular,3327,9104,64,0.10904,0.01562,TC_DIRECT_TF32,0.00674,0.556,0.6649,1.0772,0.1432,0.0618,1.6202
CiteSeer,Mixed/Irregular,3327,9104,128,0.16051,0.01666,TC_DIRECT_TF32,0.00667,0.556,0.7163,1.1676,0.1038,0.0416,1.63
CiteSeer,Mixed/Irregular,3327,9104,256,0.28846,0.02313,TC_DIRECT_TF32,0.01,0.556,0.8443,1.2738,0.0802,0.0347,1.5088
CiteSeer,Mixed/Irregular,3327,9104,512,0.58414,0.04048,TC_DIRECT_TF32,0.02038,0.556,1.14,1.2975,0.0693,0.0349,1.1382
PPI,Mixed/Irregular,1767,32318,64,0.04294,0.02452,TC_DIRECT,0.00945,0.578,0.6211,1.0554,0.5712,0.22,1.6992
