dataset,category,M,nnz,N,feature_route_ms,csr_cold_exec_ms,cusparse_cold_ms,deployed_cold_speedup
roadNet-CA,Sparse Uniform,1971281,5533214,128,1.0491,2.7982,9.6932,2.5195
roadNet-PA,Sparse Uniform,1090920,3083796,128,0.1465,1.5187,4.6581,2.7974
roadNet-TX,Sparse Uniform,1393383,3843320,128,0.1454,1.8953,5.5793,2.7341
Amazon0601,Sparse Uniform,403394,3387388,128,0.1458,1.5475,3.6524,2.157
web-Google,Sparse Uniform,916428,5105039,128,0.148,3.2308,5.5446,1.641
web-Stanford,Sparse Uniform,281904,2312497,128,0.1484,0.971,2.5111,2.2432
ogbn-arxiv,Sparse Uniform,169343,1166243,128,0.1861,0.5439,1.9381,2.6549
Yelp,Sparse Uniform,716847,13954819,128,0.1482,8.3966,10.1073,1.1829
twitter-combined,Sparse Skewed,81306,1768149,128,0.1495,0.4318,1.6872,2.9027
soc-Pokec,Sparse Skewed,1632803,30622564,128,0.1866,17.2896,21.2861,1.218
ca-GrQc,Dense Small,5242,28980,128,0.1326,0.0293,1.1305,6.982
ca-HepTh,Dense Small,9877,51971,128,0.1363,0.0326,1.1241,6.6573
ca-CondMat,Dense Small,23133,186936,128,0.1409,0.1308,1.1259,4.1439
amazon-computers,Dense Small,13752,491722,128,0.1307,0.4002,1.2241,2.3058
amazon-photo,Dense Small,7650,238162,128,0.2024,0.1861,1.2756,3.2839
gplus-combined,Dense Large-Scale,107614,13673453,128,0.1666,4.2856,4.8783,1.0957
Reddit,Dense Large-Scale,232965,114615892,128,0.1818,59.0092,59.3604,1.0029
ogbn-products,Dense Large-Scale,2449029,123718152,128,0.1722,75.2562,81.0688,1.0748
ogbn-proteins,Dense Large-Scale,132534,79122504,128,0.2098,16.5271,19.277,1.1518
com-DBLP,Community,317080,2099732,128,0.1527,1.1396,2.8514,2.2064
com-Amazon,Community,334863,1851744,128,0.1472,1.4175,2.9014,1.8543
com-youtube,Community,1157828,5975248,128,0.15,7.7607,5.7371,0.7252
Cora,Mixed/Irregular,2708,10556,128,0.1266,0.0342,1.4955,9.3045
CiteSeer,Mixed/Irregular,3327,9104,128,0.124,0.0282,1.4507,9.5344
PPI,Mixed/Irregular,1767,32318,128,0.1192,0.1101,1.3911,6.065
Flickr,Mixed/Irregular,89250,899756,128,0.147,1.3904,1.7808,1.1582
synth_sparse_skewed_cv1p5,Sparse Skewed,200000,3622709,128,0.206,2.2337,3.6958,1.5149
synth_sparse_skewed_cv2p0,Sparse Skewed,200000,6166484,128,0.1477,3.6715,5.1664,1.3527
synth_sparse_skewed_cv2p5,Sparse Skewed,200000,10306672,128,0.1466,6.0105,7.5924,1.2331
synth_sparse_skewed_cv3p0,Sparse Skewed,200000,16207364,128,0.1496,9.3262,10.9317,1.1536
synth_sparse_skewed_cv4p0,Sparse Skewed,200000,25191428,128,0.1551,14.366,16.0089,1.1025
synth_community_nc10,Community,200000,1089063,128,0.1443,0.5794,1.946,2.6888
synth_community_nc50,Community,200000,1098216,128,0.1445,0.3977,1.8291,3.3736
synth_community_nc100,Community,200000,1098420,128,0.167,0.3725,1.9806,3.6713
synth_community_nc500,Community,200000,1100450,128,0.1639,0.3664,2.0092,3.7891
synth_community_nc1000,Community,200000,1101854,128,0.1465,0.3562,1.8359,3.6522
synth_mixed_v1,Mixed/Irregular,200000,4001390,128,0.1422,2.4521,3.8766,1.4942
synth_mixed_v2,Mixed/Irregular,200000,5457270,128,0.1537,3.2788,4.6816,1.3639
synth_mixed_v3,Mixed/Irregular,200000,5576937,128,0.1508,3.3407,4.832,1.384
synth_mixed_v4,Mixed/Irregular,200000,7410217,128,0.1733,4.3976,5.9724,1.3066
synth_mixed_v5,Mixed/Irregular,200000,7276677,128,0.1522,4.3071,5.7487,1.2892
synth_dense_small_d30,Dense Small,10000,300000,128,0.2115,0.082,1.5666,5.3377
synth_dense_small_d50,Dense Small,10000,500000,128,0.136,0.1142,1.2271,4.9034
synth_dense_small_d70,Dense Small,10000,700000,128,0.1432,0.1548,1.2729,4.2725
synth_dense_small_d90,Dense Small,10000,900000,128,0.1322,0.1918,1.3353,4.1221
synth_dense_small_d120,Dense Small,10000,1200000,128,0.1326,0.2471,1.3187,3.4737
synth_sparse_uniform_d3,Sparse Uniform,300000,900000,128,0.143,0.7486,2.1087,2.3651
synth_sparse_uniform_d5,Sparse Uniform,300000,1500000,128,0.1448,1.1092,2.5377,2.0237
synth_sparse_uniform_d8,Sparse Uniform,300000,2400000,128,0.1482,1.6065,3.1031,1.7685
synth_sparse_uniform_d12,Sparse Uniform,300000,3600000,128,0.1485,2.3005,3.8356,1.5662
synth_sparse_uniform_d18,Sparse Uniform,300000,5400000,128,0.1481,3.3368,5.2073,1.4942
