dataset,category,N,deg,M,fp16_unstaged_ms,fp16_staged_ms,fp16_ratio,tf32_unstaged_ms,tf32_staged_ms,tf32_ratio
roadNet-CA,Sparse Uniform,128,2.806912865289119,1971281,3.9189232994491854,4.037892519651602,0.9705368036361994,2.8793854739827416,2.8224432662439844,1.0201747926768903
roadNet-CA,Sparse Uniform,512,2.806912865289119,1971281,15.817013520281764,16.69215719991674,0.9475715649479182,11.557064606652906,11.29420277973016,1.0232740488239247
roadNet-PA,Sparse Uniform,128,2.8267847321526784,1090920,2.1598153933882713,2.2242786937082806,0.9710183348416034,1.5498941531404853,1.5204233264861007,1.019383303413593
roadNet-PA,Sparse Uniform,512,2.8267847321526784,1090920,8.699058453397205,9.160981539947292,0.9495771185068075,6.217784086087098,6.106190912735959,1.018275415057591
roadNet-TX,Sparse Uniform,128,2.758265315422967,1393383,2.751227206705759,2.8339656131962934,0.9708047246214756,1.9555441204768915,1.9193769603346784,1.0188431771817803
roadNet-TX,Sparse Uniform,512,2.758265315422967,1393383,11.082184406307837,11.678880020044744,0.9489081476380625,7.8488376798729105,7.720364819591245,1.0166407758290972
Amazon0601,Sparse Uniform,128,8.397219591763884,403394,1.2813295936211944,1.2792090993995469,1.0016576603642382,1.5153196865382295,1.5209905399630468,0.9962716050653707
Amazon0601,Sparse Uniform,512,8.397219591763884,403394,5.205893619762112,5.210010446608067,0.9992098236868922,6.027798519935459,6.0370284334446,0.9984711164423199
web-Google,Sparse Uniform,128,5.570583832008625,916428,2.867406813117365,2.8578345803543925,1.0033494705497563,3.244717406729857,3.2412534595156712,1.0010687060600016
web-Google,Sparse Uniform,512,5.570583832008625,916428,11.735505326651037,11.745409266247105,0.9991567820778686,12.979705213413885,12.976752506413808,1.0002275382071606
web-Stanford,Sparse Uniform,128,8.203136528747375,281904,0.8642241397562126,0.8588694004962842,1.0062346373695863,0.9244085530129572,0.9184598464829227,1.0064768280865124
web-Stanford,Sparse Uniform,512,8.203136528747375,281904,3.4873592667281628,3.474373633507639,1.0037375465595546,3.857003000254432,3.675471526415398,1.0493899823558361
ogbn-arxiv,Sparse Uniform,128,6.886868663009395,169343,0.46618463937193155,0.46285907349859673,1.0071848345722123,0.4630451533012092,0.46182775326694053,1.0026360478027943
ogbn-arxiv,Sparse Uniform,512,6.886868663009395,169343,1.8682304800798495,1.8549443734809756,1.0071625364020709,2.0576448536788425,1.8430093000642955,1.1164592894930367
Yelp,Sparse Uniform,128,19.466942039235708,716847,5.076182140037417,4.802959493050972,1.0568863109051305,7.929748479897777,7.897862646883974,1.0040372736826948
Yelp,Sparse Uniform,512,19.466942039235708,716847,19.83352843982478,19.396246986774106,1.0225446424428832,30.821049939841032,30.697877619725965,1.0040124050802757
twitter-combined,Sparse Skewed,128,21.74684525127297,81306,0.3117547665412227,0.29001146710167325,1.074973930020245,0.3241839399561286,0.3291470999829471,0.9849211491546617
twitter-combined,Sparse Skewed,512,21.74684525127297,81306,1.2464132998138666,1.132911106881996,1.1001863184519851,1.3809805735945702,1.3126272661611438,1.0520736611188413
soc-Pokec,Sparse Skewed,128,18.754598074599325,1632803,11.42203858665501,11.233574626967311,1.0167768467247524,17.712092026292037,17.692850260064006,1.001087544739553
