dataset,category,kernel,N,M,nnz,launch,role,duration_us,sm_pct,dram_pct,compmem_pct,l1_hit,l2_hit,tensor_pct,hmma,occ_ach,elig_warps,issue_pct,regs,smem,grid,block,waves,dram_bytes,top_stall,top_stall_ratio,bottleneck
com-Amazon,Community,TC_DIRECT_TF32,128,334863,1851744,fs_tile_spmm_tf32_kernel,spmm,1310.208,24.624,92.308,92.308,39.874,22.065,5.306,1983424.0,98.092,0.394,23.881,40.0,1.024,83716.0,128.0,85.08,1.1,long_scoreboard,36.13,DRAM-bandwidth-bound
com-Amazon,Community,TC_DIRECT_TF32,512,334863,1851744,fs_tile_spmm_tf32_kernel,spmm,5139.552,25.102,94.132,94.132,39.838,22.001,5.409,7933696.0,98.508,0.38,24.342,40.0,1.024,334864.0,128.0,340.31,4.406,long_scoreboard,37.684,DRAM-bandwidth-bound
com-Amazon,Community,TC_DIRECT,128,334863,1851744,convert_b_to_half_kernel,b_convert,303.104,12.318,92.756,92.756,0.0,33.39,0.0,0.0,73.061,0.179,12.318,16.0,1.024,65535.0,256.0,133.2,254.476,long_scoreboard,67.181,DRAM-bandwidth-bound
com-Amazon,Community,TC_DIRECT,128,334863,1851744,fs_tile_spmm_kernel,spmm,814.24,34.984,89.119,89.119,60.468,32.245,4.276,1983424.0,97.541,0.607,34.764,40.0,1.024,83716.0,128.0,85.08,659.121,long_scoreboard,27.073,DRAM-bandwidth-bound
com-Amazon,Community,TC_DIRECT,512,334863,1851744,convert_b_to_half_kernel,b_convert,1211.712,9.12,93.346,93.346,0.0,33.348,0.0,0.0,83.482,0.09,7.444,16.0,1.024,65535.0,256.0,133.2,1.026,long_scoreboard,129.129,DRAM-bandwidth-bound
com-Amazon,Community,TC_DIRECT,512,334863,1851744,fs_tile_spmm_kernel,spmm,3225.696,35.235,90.211,90.211,60.476,32.023,4.307,7933696.0,98.057,0.594,35.011,40.0,1.024,334864.0,128.0,340.31,2.649,long_scoreboard,27.592,DRAM-bandwidth-bound
roadNet-TX,Sparse Uniform,TC_DIRECT_TF32,128,1393383,3843320,fs_tile_spmm_tf32_kernel,spmm,1949.856,37.263,91.553,91.553,45.977,63.428,6.861,3823648.0,96.299,0.651,37.263,40.0,1.024,348346.0,128.0,354.01,1.627,long_scoreboard,23.655,DRAM-bandwidth-bound
roadNet-TX,Sparse Uniform,TC_DIRECT_TF32,512,1393383,3843320,fs_tile_spmm_tf32_kernel,spmm,7816.864,37.262,91.442,91.442,45.957,63.42,6.861,15294592.0,96.469,0.646,37.262,40.0,1.024,1393384.0,128.0,1416.04,6.516,long_scoreboard,23.808,DRAM-bandwidth-bound
roadNet-TX,Sparse Uniform,TC_DIRECT,128,1393383,3843320,convert_b_to_half_kernel,b_convert,1261.728,9.107,93.377,93.377,0.0,33.348,0.0,0.0,84.513,0.088,7.383,16.0,1.024,65535.0,256.0,133.2,1.068,long_scoreboard,131.541,DRAM-bandwidth-bound
roadNet-TX,Sparse Uniform,TC_DIRECT,128,1393383,3843320,fs_tile_spmm_kernel,spmm,1526.592,43.769,88.641,88.641,62.84,69.201,4.402,3823648.0,95.842,0.841,43.769,40.0,1.024,348346.0,128.0,354.01,1.232,long_scoreboard,20.718,DRAM-bandwidth-bound
roadNet-TX,Sparse Uniform,TC_DIRECT,512,1393383,3843320,convert_b_to_half_kernel,b_convert,5052.96,8.77,92.928,92.928,0.0,33.336,0.0,0.0,89.743,0.067,6.173,16.0,1.024,65535.0,256.0,133.2,4.278,long_scoreboard,169.271,DRAM-bandwidth-bound
roadNet-TX,Sparse Uniform,TC_DIRECT,512,1393383,3843320,fs_tile_spmm_kernel,spmm,6414.4,42.901,87.369,87.369,62.799,69.169,4.315,15294592.0,96.155,0.806,42.901,40.0,1.024,1393384.0,128.0,1416.04,4.938,long_scoreboard,21.472,DRAM-bandwidth-bound
synth_community_nc1000,Community,TC_DIRECT_TF32,128,200000,1101854,fs_tile_spmm_tf32_kernel,spmm,359.52,50.539,89.543,89.543,40.958,70.95,10.827,1106344.0,96.712,1.004,49.351,40.0,1.024,50000.0,128.0,50.81,291.975,long_scoreboard,17.319,DRAM-bandwidth-bound
synth_community_nc1000,Community,TC_DIRECT_TF32,512,200000,1101854,fs_tile_spmm_tf32_kernel,spmm,1421.888,50.984,90.727,90.727,40.889,70.956,10.922,4425376.0,97.227,1.005,49.779,40.0,1.024,200000.0,128.0,203.25,1.175,long_scoreboard,17.369,DRAM-bandwidth-bound
synth_community_nc1000,Community,TC_DIRECT,128,200000,1101854,convert_b_to_half_kernel,b_convert,183.68,14.034,91.524,91.524,0.0,33.433,0.0,0.0,71.138,0.212,14.034,16.0,1.024,50000.0,256.0,101.63,150.928,long_scoreboard,54.692,DRAM-bandwidth-bound
synth_community_nc1000,Community,TC_DIRECT,128,200000,1101854,fs_tile_spmm_kernel,spmm,297.632,54.194,80.342,80.342,61.103,71.051,6.557,1106344.0,96.217,1.269,54.039,40.0,1.024,50000.0,128.0,50.81,216.879,long_scoreboard,15.043,DRAM-bandwidth-bound
synth_community_nc1000,Community,TC_DIRECT,512,200000,1101854,convert_b_to_half_kernel,b_convert,722.624,9.374,93.188,93.188,0.0,33.356,0.0,0.0,81.73,0.109,8.534,16.0,1.024,65535.0,256.0,133.2,611.756,long_scoreboard,108.667,DRAM-bandwidth-bound
synth_community_nc1000,Community,TC_DIRECT,512,200000,1101854,fs_tile_spmm_kernel,spmm,1207.232,53.177,79.659,79.659,61.066,71.036,6.434,4425376.0,96.921,1.19,53.018,40.0,1.024,200000.0,128.0,203.25,875.491,long_scoreboard,15.964,DRAM-bandwidth-bound
twitter-combined,Sparse Skewed,TC_DIRECT_TF32,128,81306,1768149,fs_tile_spmm_tf32_kernel,spmm,346.56,51.207,68.872,86.06,39.754,71.686,11.612,1150136.0,96.416,1.068,46.688,40.0,1.024,20328.0,128.0,20.66,217.77,long_scoreboard,16.227,DRAM-bandwidth-bound
twitter-combined,Sparse Skewed,TC_DIRECT_TF32,512,81306,1768149,fs_tile_spmm_tf32_kernel,spmm,1291.84,55.071,74.459,93.121,39.263,71.745,12.488,4600544.0,98.032,1.103,50.204,40.0,1.024,81312.0,128.0,82.63,876.79,long_scoreboard,16.169,DRAM-bandwidth-bound
twitter-combined,Sparse Skewed,TC_DIRECT,128,81306,1768149,convert_b_to_half_kernel,b_convert,75.008,14.244,90.152,90.152,0.0,33.55,0.0,0.0,75.127,0.227,14.244,16.0,1.024,20327.0,256.0,41.32,59.68,long_scoreboard,54.268,DRAM-bandwidth-bound
twitter-combined,Sparse Skewed,TC_DIRECT,128,81306,1768149,fs_tile_spmm_kernel,spmm,258.816,58.647,58.194,80.85,61.652,72.266,7.825,1150136.0,95.749,1.693,56.388,40.0,1.024,20328.0,128.0,20.66,136.869,long_scoreboard,12.168,memory-latency-bound
twitter-combined,Sparse Skewed,TC_DIRECT,512,81306,1768149,convert_b_to_half_kernel,b_convert,293.984,12.559,93.022,93.022,0.0,33.394,0.0,0.0,75.647,0.183,12.559,16.0,1.024,65535.0,256.0,133.2,247.029,long_scoreboard,65.293,DRAM-bandwidth-bound
twitter-combined,Sparse Skewed,TC_DIRECT,512,81306,1768149,fs_tile_spmm_kernel,spmm,985.056,61.4,62.061,84.594,61.408,72.279,8.192,4600544.0,97.709,1.641,59.026,40.0,1.024,81312.0,128.0,82.63,556.781,long_scoreboard,12.79,DRAM-bandwidth-bound
