dataset,category,kernel,N,M,nnz,launch,role,duration_us,sm_pct,dram_pct,compmem_pct,l1_hit,l2_hit,tensor_pct,hmma,occ_ach,elig_warps,issue_pct,regs,smem,grid,block,waves,dram_bytes,top_stall,top_stall_ratio,bottleneck
Flickr,sh_row,SEGMENT_HYBRID_TF32,128,89250,899756,vectorized_elementwise_kernel<,other,52.768,6.056,90.713,90.713,0.0,100.027,0.0,0.0,87.409,0.086,4.215,16.0,1.024,11157.0,128.0,11.34,42.611,mio_throttle,76.452,DRAM-bandwidth-bound
Flickr,sh_row,SEGMENT_HYBRID_TF32,128,89250,899756,sh_fs_tile_spmm_seg_tf32_kernel<,spmm,416.864,38.596,92.733,92.733,35.569,42.98,7.897,933048.0,97.962,0.264,20.947,38.0,4.096,22538.0,128.0,22.9,349.996,long_scoreboard,50.295,DRAM-bandwidth-bound
Flickr,sh_row,SEGMENT_HYBRID_TF32,128,89250,899756,sh_merge_split_kernel,other,5.472,17.346,15.436,15.436,16.442,35.102,0.0,0.0,53.368,0.683,17.346,38.0,1.024,296.0,256.0,0.6,0.762,long_scoreboard,10.288,memory-latency-bound
Flickr,sh_row,SEGMENT_HYBRID_TF32,512,89250,899756,vectorized_elementwise_kernel<,other,206.944,6.068,95.831,95.831,0.0,99.993,0.0,0.0,90.446,0.076,4.185,16.0,1.024,44625.0,128.0,45.35,0.18,mio_throttle,85.378,DRAM-bandwidth-bound
Flickr,sh_row,SEGMENT_HYBRID_TF32,512,89250,899756,sh_fs_tile_spmm_seg_tf32_kernel<,spmm,1649.856,38.766,93.877,93.877,35.549,42.764,7.932,3732192.0,98.729,0.261,21.033,38.0,4.096,90152.0,128.0,91.62,1.41,long_scoreboard,50.983,DRAM-bandwidth-bound
Flickr,sh_row,SEGMENT_HYBRID_TF32,512,89250,899756,sh_merge_split_kernel,other,9.536,40.162,36.623,36.623,16.828,30.881,0.0,0.0,82.126,1.675,40.162,38.0,1.024,1184.0,256.0,2.41,0.003,long_scoreboard,9.214,memory-latency-bound
com-Amazon,ct_row,COMMUNITY_TC_TF32,128,334863,1851744,vectorized_elementwise_kernel<,other,194.4,6.063,95.673,95.673,0.0,99.994,0.0,0.0,90.475,0.076,4.182,16.0,1.024,41858.0,128.0,42.54,168.405,mio_throttle,85.59,DRAM-bandwidth-bound
com-Amazon,ct_row,COMMUNITY_TC_TF32,128,334863,1851744,ct_fs_tile_spmm_perm_tf32_kernel<,spmm,947.104,30.18,92.885,92.885,39.784,31.076,5.468,1478392.0,98.3,0.221,18.3,38.0,4.096,83716.0,128.0,85.08,801.546,long_scoreboard,58.812,DRAM-bandwidth-bound
com-Amazon,ct_row,COMMUNITY_TC_TF32,512,334863,1851744,vectorized_elementwise_kernel<,other,770.784,6.075,97.163,97.163,0.0,99.991,0.0,0.0,91.389,0.073,4.18,16.0,1.024,167432.0,128.0,170.15,0.683,mio_throttle,87.873,DRAM-bandwidth-bound
com-Amazon,ct_row,COMMUNITY_TC_TF32,512,334863,1851744,ct_fs_tile_spmm_perm_tf32_kernel<,spmm,3777.6,30.233,93.429,93.429,39.75,31.078,5.478,5913568.0,98.513,0.22,18.329,38.0,4.096,334864.0,128.0,340.31,3.215,long_scoreboard,59.042,DRAM-bandwidth-bound
com-Amazon,core,CUSPARSE,128,334863,1851744,"MatrixWiseMulPolicy, ",other,194.624,43.68,95.536,95.536,0.0,99.993,0.0,0.0,81.562,0.977,43.68,26.0,1.024,65535.0,128.0,66.6,0.168,mio_throttle,4.513,DRAM-bandwidth-bound
com-Amazon,core,CUSPARSE,128,334863,1851744,csrmm_alg2_partition_kernel<,other,9.12,14.127,16.535,16.535,74.762,30.142,0.0,0.0,56.793,0.234,13.063,16.0,1.024,603.0,128.0,0.61,0.001,long_scoreboard,32.914,memory-latency-bound
com-Amazon,core,CUSPARSE,128,334863,1851744,"CsrMMPolicy<int, float, float, float>, ",other,1385.952,17.335,94.192,94.192,1.208,15.416,0.0,0.0,74.577,0.13,11.069,43.0,1.024,19289.0,128.0,23.52,1.188,long_scoreboard,69.294,DRAM-bandwidth-bound
com-Amazon,core,CUSPARSE,512,334863,1851744,"MatrixWiseMulPolicy, ",other,772.384,43.758,97.164,97.164,0.0,99.996,0.0,0.0,81.484,0.957,43.758,26.0,1.024,262140.0,128.0,266.4,0.683,mio_throttle,4.671,DRAM-bandwidth-bound
com-Amazon,core,CUSPARSE,512,334863,1851744,csrmm_alg2_partition_kernel<,other,9.056,14.185,16.687,16.687,74.77,30.11,0.0,0.0,57.01,0.238,13.115,16.0,1.024,603.0,128.0,0.61,0.001,long_scoreboard,32.877,memory-latency-bound
com-Amazon,core,CUSPARSE,512,334863,1851744,"CsrMMPolicy<int, float, float, float>, ",other,5516.448,17.397,94.73,94.73,1.193,15.299,0.0,0.0,74.384,0.127,11.106,43.0,1.024,77156.0,128.0,94.09,4.761,long_scoreboard,70.933,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT_TF32,128,334863,1851744,fs_tile_spmm_staged_tf32_kernel,spmm,1307.296,27.078,92.514,92.514,37.582,22.181,5.319,1983424.0,98.298,0.187,15.453,38.0,4.096,83716.0,128.0,85.08,1.101,long_scoreboard,68.798,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT_TF32,512,334863,1851744,fs_tile_spmm_staged_tf32_kernel,spmm,5133.504,27.526,94.301,94.301,37.578,22.12,5.407,7933696.0,98.71,0.184,15.707,38.0,4.096,334864.0,128.0,340.31,4.41,long_scoreboard,69.548,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT_ZC_TF32,128,334863,1851744,fs_tile_spmm_zc_tf32_kernel,spmm,1295.968,37.606,89.02,89.02,33.155,23.725,5.38,1983424.0,81.748,0.578,37.606,48.0,1.024,83716.0,128.0,102.09,1.048,long_scoreboard,20.634,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT_ZC_TF32,512,334863,1851744,fs_tile_spmm_zc_tf32_kernel,spmm,5020.64,38.709,91.794,91.794,33.143,23.664,5.538,7933696.0,82.096,0.576,38.709,48.0,1.024,334864.0,128.0,408.37,4.197,long_scoreboard,20.751,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT_ZC,128,334863,1851744,convert_b_to_half_kernel,b_convert,302.464,12.32,92.702,92.702,0.0,33.391,0.0,0.0,75.228,0.177,12.32,16.0,1.024,65535.0,256.0,133.2,254.442,long_scoreboard,63.68,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT_ZC,128,334863,1851744,fs_tile_spmm_zc_kernel,spmm,907.328,50.676,72.213,72.213,64.123,37.319,3.833,1983424.0,81.131,1.019,50.676,48.0,1.024,83716.0,128.0,102.09,595.628,long_scoreboard,12.863,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT_ZC,512,334863,1851744,convert_b_to_half_kernel,b_convert,1210.24,9.114,93.321,93.321,0.0,33.362,0.0,0.0,83.55,0.09,7.44,16.0,1.024,65535.0,256.0,133.2,1.026,long_scoreboard,129.733,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT_ZC,512,334863,1851744,fs_tile_spmm_zc_kernel,spmm,3552.096,51.627,73.858,73.858,64.109,37.206,3.905,7933696.0,81.597,0.98,51.627,48.0,1.024,334864.0,128.0,408.37,2.391,long_scoreboard,13.383,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT,128,334863,1851744,convert_b_to_half_kernel,b_convert,304.192,12.298,92.586,92.586,0.0,33.396,0.0,0.0,74.714,0.178,12.298,16.0,1.024,65535.0,256.0,133.2,254.389,long_scoreboard,66.927,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT,128,334863,1851744,fs_tile_spmm_staged_kernel,spmm,792.8,40.39,91.739,91.739,38.891,32.117,4.399,1983424.0,97.496,0.277,20.536,40.0,2.56,83716.0,128.0,85.08,660.316,long_scoreboard,49.651,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT,512,334863,1851744,convert_b_to_half_kernel,b_convert,1209.984,9.101,93.191,93.191,0.0,33.357,0.0,0.0,83.932,0.09,7.429,16.0,1.024,65535.0,256.0,133.2,1.026,long_scoreboard,129.856,DRAM-bandwidth-bound
com-Amazon,core,TC_DIRECT,512,334863,1851744,fs_tile_spmm_staged_kernel,spmm,3218.72,39.513,90.308,90.308,38.904,31.901,4.303,7933696.0,97.896,0.266,20.087,40.0,2.56,334864.0,128.0,340.31,2.653,long_scoreboard,51.72,DRAM-bandwidth-bound
ogbn-proteins,dense_large,CUSPARSE,128,132534,79122504,"MatrixWiseMulPolicy, ",other,77.696,51.595,92.463,92.463,0.0,99.995,0.0,0.0,82.313,1.427,51.595,26.0,1.024,33134.0,128.0,33.67,0.065,mio_throttle,3.734,DRAM-bandwidth-bound
ogbn-proteins,dense_large,CUSPARSE,128,132534,79122504,csrmm_alg2_partition_kernel<,other,103.456,46.693,11.381,33.473,75.572,96.869,0.0,0.0,93.105,0.862,42.745,16.0,1.024,25757.0,128.0,26.18,0.011,long_scoreboard,16.799,memory-latency-bound
ogbn-proteins,dense_large,CUSPARSE,128,132534,79122504,"CsrMMPolicy<int, float, float, float>, ",other,20868.096,43.41,51.673,95.044,4.413,76.609,0.0,0.0,74.488,0.299,24.272,43.0,1.024,824193.0,128.0,1005.11,9.829,long_scoreboard,30.595,memory-latency-bound
ogbn-proteins,dense_large,TC_DIRECT,128,132534,79122504,convert_b_to_half_kernel,b_convert,122.304,14.177,91.373,91.373,0.0,33.459,0.0,0.0,73.604,0.218,14.177,16.0,1.024,33134.0,256.0,67.35,0.099,long_scoreboard,54.435,DRAM-bandwidth-bound
ogbn-proteins,dense_large,TC_DIRECT,128,132534,79122504,fs_tile_spmm_staged_kernel,spmm,9305.664,80.459,47.309,91.42,26.456,76.412,10.036,53194600.0,98.785,1.169,30.049,40.0,2.56,33134.0,128.0,33.67,4.009,mio_throttle,19.497,MIO/LSU-throughput-bound
roadNet-TX,core,CUSPARSE,128,1393383,3843320,"MatrixWiseMulPolicy, ",other,807.168,20.429,96.949,96.949,0.0,100.0,0.0,0.0,74.489,0.306,20.429,26.0,1.024,65535.0,128.0,66.6,0.71,long_scoreboard,14.227,DRAM-bandwidth-bound
roadNet-TX,core,CUSPARSE,128,1393383,3843320,csrmm_alg2_partition_kernel<,other,19.712,15.736,33.716,33.716,72.359,17.608,0.0,0.0,71.853,0.257,14.327,16.0,1.024,1252.0,128.0,1.27,0.006,long_scoreboard,44.387,memory-latency-bound
roadNet-TX,core,CUSPARSE,128,1393383,3843320,"CsrMMPolicy<int, float, float, float>, ",other,2990.912,18.585,90.712,90.712,7.551,33.503,0.0,0.0,73.601,0.15,12.952,43.0,1.024,40035.0,128.0,48.82,2.471,long_scoreboard,60.428,DRAM-bandwidth-bound
roadNet-TX,core,CUSPARSE,512,1393383,3843320,"MatrixWiseMulPolicy, ",other,3202.784,20.503,97.624,97.624,0.0,99.999,0.0,0.0,73.228,0.301,20.503,26.0,1.024,262140.0,128.0,266.4,2.851,long_scoreboard,14.168,DRAM-bandwidth-bound
roadNet-TX,core,CUSPARSE,512,1393383,3843320,csrmm_alg2_partition_kernel<,other,18.656,15.85,34.022,34.022,72.354,17.786,0.0,0.0,72.632,0.26,14.432,16.0,1.024,1252.0,128.0,1.27,0.006,long_scoreboard,44.249,memory-latency-bound
