dataset,category,kernel,N,M,nnz,launch,duration_us,dram_bytes,dram_gbps,cuda_core_flops,hmma_inst,hmma_flops,total_flops,achieved_gflops,algo_flops_2nnzN,algo_gflops,ai_hw_flop_per_byte,ai_algo_flop_per_byte
Flickr,sh_row,SEGMENT_HYBRID_TF32,128,89250,899756,void sh_fs_tile_spmm_seg_tf32_kernel<,416.864,349995648,839.59,59715072,933048,1910882304,1970597376,4727.19,230337536,552.55,5.6303,0.6581
Flickr,sh_row,SEGMENT_HYBRID_TF32,128,89250,899756,sh_merge_split_kernel,5.472,762496,139.35,190464,0,0,190464,34.81,230337536,42093.85,0.2498,302.0836
Flickr,sh_row,SEGMENT_HYBRID_TF32,512,89250,899756,void sh_fs_tile_spmm_seg_tf32_kernel<,1649.856,1410239000,854.76,238860288,3732192,7643529216,7882389504,4777.62,921350144,558.44,5.5894,0.6533
Flickr,sh_row,SEGMENT_HYBRID_TF32,512,89250,899756,sh_merge_split_kernel,9.536,3057000,320.57,761856,0,0,761856,79.89,921350144,96618.09,0.2492,301.3903
com-Amazon,ct_row,COMMUNITY_TC_TF32,128,334863,1851744,void ct_fs_tile_spmm_perm_tf32_kernel<,947.104,801545984,846.31,94617088,1478392,3027746816,3122363904,3296.75,474046464,500.52,3.8954,0.5914
com-Amazon,ct_row,COMMUNITY_TC_TF32,512,334863,1851744,void ct_fs_tile_spmm_perm_tf32_kernel<,3777.6,3214561000,850.95,378468352,5913568,12110987264,12489455616,3306.19,1896185856,501.96,3.8853,0.5899
com-Amazon,core,CUSPARSE,128,334863,1851744,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",194.624,168328000,864.89,0,0,0,0,0.0,474046464,2435.7,0.0,2.8162
com-Amazon,core,CUSPARSE,128,334863,1851744,void cusparse::csrmm_alg2_partition_kernel<,9.12,1340000,146.93,0,0,0,0,0.0,474046464,51978.78,0.0,353.766
com-Amazon,core,CUSPARSE,128,334863,1851744,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",1385.952,1187627000,856.9,575928064,0,0,575928064,415.55,474046464,342.04,0.4849,0.3992
com-Amazon,core,CUSPARSE,512,334863,1851744,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",772.384,682772000,883.98,0,0,0,0,0.0,1896185856,2454.98,0.0,2.7772
com-Amazon,core,CUSPARSE,512,334863,1851744,void cusparse::csrmm_alg2_partition_kernel<,9.056,1340000,147.97,0,0,0,0,0.0,1896185856,209384.48,0.0,1415.0641
com-Amazon,core,CUSPARSE,512,334863,1851744,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",5516.448,4760533000,862.97,2303712256,0,0,2303712256,417.61,1896185856,343.73,0.4839,0.3983
com-Amazon,core,TC_DIRECT_TF32,128,334863,1851744,fs_tile_spmm_staged_tf32_kernel,1307.296,1100735000,841.99,126939136,1983424,4062052352,4188991488,3204.32,474046464,362.62,3.8056,0.4307
com-Amazon,core,TC_DIRECT_TF32,512,334863,1851744,fs_tile_spmm_staged_tf32_kernel,5133.504,4409604000,858.99,507756544,7933696,16248209408,16755965952,3264.04,1896185856,369.37,3.7999,0.43
com-Amazon,core,TC_DIRECT_ZC_TF32,128,334863,1851744,fs_tile_spmm_zc_tf32_kernel,1295.968,1047735000,808.46,126939136,1983424,4062052352,4188991488,3232.33,474046464,365.79,3.9981,0.4524
com-Amazon,core,TC_DIRECT_ZC_TF32,512,334863,1851744,fs_tile_spmm_zc_tf32_kernel,5020.64,4197381000,836.03,507756544,7933696,16248209408,16755965952,3337.42,1896185856,377.68,3.992,0.4518
com-Amazon,core,TC_DIRECT_ZC,128,334863,1851744,fs_tile_spmm_zc_kernel,907.328,595627520,656.46,0,1983424,4062052352,4062052352,4476.94,474046464,522.46,6.8198,0.7959
com-Amazon,core,TC_DIRECT_ZC,512,334863,1851744,fs_tile_spmm_zc_kernel,3552.096,2390834000,673.08,0,7933696,16248209408,16248209408,4574.26,1896185856,533.82,6.796,0.7931
com-Amazon,core,TC_DIRECT,128,334863,1851744,fs_tile_spmm_staged_kernel,792.8,660316160,832.89,0,1983424,4062052352,4062052352,5123.68,474046464,597.94,6.1517,0.7179
com-Amazon,core,TC_DIRECT,512,334863,1851744,fs_tile_spmm_staged_kernel,3218.72,2653154000,824.29,0,7933696,16248209408,16248209408,5048.03,1896185856,589.11,6.1241,0.7147
ogbn-proteins,dense_large,CUSPARSE,128,132534,79122504,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",77.696,64784999,833.83,0,0,0,0,0.0,20255361024,260700.18,0.0,312.6551
ogbn-proteins,dense_large,CUSPARSE,128,132534,79122504,void cusparse::csrmm_alg2_partition_kernel<,103.456,10696000,103.39,0,0,0,0,0.0,20255361024,195787.2,0.0,1893.7323
ogbn-proteins,dense_large,CUSPARSE,128,132534,79122504,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",20868.096,9828693000,470.99,21131834624,0,0,21131834624,1012.64,20255361024,970.64,2.15,2.0608
ogbn-proteins,dense_large,TC_DIRECT,128,132534,79122504,fs_tile_spmm_staged_kernel,9305.664,4009168000,430.83,0,53194600,108942540800,108942540800,11707.12,20255361024,2176.67,27.1734,5.0523
roadNet-TX,core,CUSPARSE,128,1393383,3843320,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",807.168,710496000,880.23,0,0,0,0,0.0,983889920,1218.94,0.0,1.3848
roadNet-TX,core,CUSPARSE,128,1393383,3843320,void cusparse::csrmm_alg2_partition_kernel<,19.712,5563000,282.21,0,0,0,0,0.0,983889920,49913.25,0.0,176.8632
roadNet-TX,core,CUSPARSE,128,1393383,3843320,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",2990.912,2470585000,826.03,1363451136,0,0,1363451136,455.86,983889920,328.96,0.5519,0.3982
roadNet-TX,core,CUSPARSE,512,1393383,3843320,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",3202.784,2850764000,890.09,0,0,0,0,0.0,3935559680,1228.79,0.0,1.3805
roadNet-TX,core,CUSPARSE,512,1393383,3843320,void cusparse::csrmm_alg2_partition_kernel<,18.656,5596000,299.96,0,0,0,0,0.0,3935559680,210954.1,0.0,703.2809
roadNet-TX,core,CUSPARSE,512,1393383,3843320,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",12059.264,9920158000,822.62,5453804544,0,0,5453804544,452.25,3935559680,326.35,0.5498,0.3967
roadNet-TX,core,TC_DIRECT_TF32,128,1393383,3843320,fs_tile_spmm_staged_tf32_kernel,1943.648,1618075000,832.49,244713472,3823648,7830831104,8075544576,4154.84,983889920,506.21,4.9908,0.6081
roadNet-TX,core,TC_DIRECT_TF32,512,1393383,3843320,fs_tile_spmm_staged_tf32_kernel,7832.0,6480185000,827.4,978853888,15294592,31323324416,32302178304,4124.38,3935559680,502.5,4.9848,0.6073
roadNet-TX,core,TC_DIRECT_ZC_TF32,128,1393383,3843320,fs_tile_spmm_zc_tf32_kernel,1980.288,1514243000,764.66,244713472,3823648,7830831104,8075544576,4077.96,983889920,496.84,5.3331,0.6498
roadNet-TX,core,TC_DIRECT_ZC_TF32,512,1393383,3843320,fs_tile_spmm_zc_tf32_kernel,8010.496,6065062000,757.14,978853888,15294592,31323324416,32302178304,4032.48,3935559680,491.3,5.3259,0.6489
roadNet-TX,core,TC_DIRECT_ZC,128,1393383,3843320,fs_tile_spmm_zc_kernel,1788.416,1134855000,634.56,0,3823648,7830831104,7830831104,4378.64,983889920,550.15,6.9003,0.867
roadNet-TX,core,TC_DIRECT_ZC,512,1393383,3843320,fs_tile_spmm_zc_kernel,7458.56,4548949000,609.9,0,15294592,31323324416,31323324416,4199.65,3935559680,527.66,6.8858,0.8652
roadNet-TX,core,TC_DIRECT,128,1393383,3843320,fs_tile_spmm_staged_kernel,1624.288,1231581000,758.23,0,3823648,7830831104,7830831104,4821.09,983889920,605.74,6.3584,0.7989
roadNet-TX,core,TC_DIRECT,512,1393383,3843320,fs_tile_spmm_staged_kernel,7107.456,4936387000,694.54,0,15294592,31323324416,31323324416,4407.11,3935559680,553.72,6.3454,0.7973
synth_community_nc1000,core,CUSPARSE,128,200000,1101854,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",116.96,99266432,848.72,0,0,0,0,0.0,282074624,2411.72,0.0,2.8416
synth_community_nc1000,core,CUSPARSE,128,200000,1101854,void cusparse::csrmm_alg2_partition_kernel<,8.352,800128,95.8,0,0,0,0,0.0,282074624,33773.3,0.0,352.5369
synth_community_nc1000,core,CUSPARSE,128,200000,1101854,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",560.704,482596224,860.7,342743808,0,0,342743808,611.27,282074624,503.07,0.7102,0.5845
synth_community_nc1000,core,CUSPARSE,512,200000,1101854,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",462.304,406508000,879.31,0,0,0,0,0.0,1128298496,2440.6,0.0,2.7756
synth_community_nc1000,core,CUSPARSE,512,200000,1101854,void cusparse::csrmm_alg2_partition_kernel<,8.416,800000,95.06,0,0,0,0,0.0,1128298496,134065.89,0.0,1410.3731
synth_community_nc1000,core,CUSPARSE,512,200000,1101854,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",2249.28,1946363000,865.33,1370975232,0,0,1370975232,609.52,1128298496,501.63,0.7044,0.5797
synth_community_nc1000,core,TC_DIRECT_TF32,128,200000,1101854,fs_tile_spmm_staged_tf32_kernel,360.288,291969408,810.38,70806016,1106344,2265792512,2336598528,6485.36,282074624,782.91,8.0029,0.9661
synth_community_nc1000,core,TC_DIRECT_TF32,512,200000,1101854,fs_tile_spmm_staged_tf32_kernel,1433.536,1174887000,819.57,283224064,4425376,9063170048,9346394112,6519.82,1128298496,787.07,7.9551,0.9603
synth_community_nc1000,core,TC_DIRECT_ZC_TF32,128,200000,1101854,fs_tile_spmm_zc_tf32_kernel,443.872,263392768,593.4,70806016,1106344,2265792512,2336598528,5264.13,282074624,635.49,8.8712,1.0709
synth_community_nc1000,core,TC_DIRECT_ZC_TF32,512,200000,1101854,fs_tile_spmm_zc_tf32_kernel,1754.432,1060535999,604.49,283224064,4425376,9063170048,9346394112,5327.3,1128298496,643.11,8.8129,1.0639
synth_community_nc1000,core,TC_DIRECT_ZC,128,200000,1101854,fs_tile_spmm_zc_kernel,404.224,188785664,467.03,0,1106344,2265792512,2265792512,5605.29,282074624,697.82,12.0019,1.4942
synth_community_nc1000,core,TC_DIRECT_ZC,512,200000,1101854,fs_tile_spmm_zc_kernel,1614.784,763059840,472.55,0,4425376,9063170048,9063170048,5612.62,1128298496,698.73,11.8774,1.4787
synth_community_nc1000,core,TC_DIRECT,128,200000,1101854,fs_tile_spmm_staged_kernel,286.144,216850944,757.84,0,1106344,2265792512,2265792512,7918.36,282074624,985.78,10.4486,1.3008
synth_community_nc1000,core,TC_DIRECT,512,200000,1101854,fs_tile_spmm_staged_kernel,1165.248,875847040,751.64,0,4425376,9063170048,9063170048,7777.89,1128298496,968.29,10.3479,1.2882
twitter-combined,core,CUSPARSE,128,81306,1768149,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",48.832,38521856,788.87,0,0,0,0,0.0,452646144,9269.46,0.0,11.7504
twitter-combined,core,CUSPARSE,128,81306,1768149,void cusparse::csrmm_alg2_partition_kernel<,7.872,307584,39.07,0,0,0,0,0.0,452646144,57500.78,0.0,1471.618
twitter-combined,core,CUSPARSE,128,81306,1768149,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",471.104,248520704,527.53,488681472,0,0,488681472,1037.31,452646144,960.82,1.9664,1.8214
twitter-combined,core,CUSPARSE,512,81306,1768149,"void cusparse::matrix_scalar_multiply_kernel<cusparse::MatrixWiseMulPolicy, ",188.992,163446000,864.83,0,0,0,0,0.0,1810584576,9580.22,0.0,11.0776
twitter-combined,core,CUSPARSE,512,81306,1768149,void cusparse::csrmm_alg2_partition_kernel<,7.904,308000,38.97,0,0,0,0,0.0,1810584576,229071.94,0.0,5878.5214
twitter-combined,core,CUSPARSE,512,81306,1768149,"void cusparse::csrmm_alg2_kernel<cusparse::CsrMMPolicy<int, float, float, float>, ",1753.152,1004947000,573.22,1954725888,0,0,1954725888,1114.98,1810584576,1032.76,1.9451,1.8017
twitter-combined,core,TC_DIRECT_TF32,128,81306,1768149,fs_tile_spmm_staged_tf32_kernel,348.352,217971456,625.72,73608704,1150136,2355478528,2429087232,6973.08,452646144,1299.39,11.1441,2.0766
twitter-combined,core,TC_DIRECT_TF32,512,81306,1768149,fs_tile_spmm_staged_tf32_kernel,1306.656,877773952,671.77,294434816,4600544,9421914112,9716348928,7436.04,1810584576,1385.66,11.0693,2.0627
twitter-combined,core,TC_DIRECT_ZC_TF32,128,81306,1768149,fs_tile_spmm_zc_tf32_kernel,429.28,183898880,428.39,73608704,1150136,2355478528,2429087232,5658.51,452646144,1054.43,13.2088,2.4614
twitter-combined,core,TC_DIRECT_ZC_TF32,512,81306,1768149,fs_tile_spmm_zc_tf32_kernel,1624.864,741346048,456.25,294434816,4600544,9421914112,9716348928,5979.79,1810584576,1114.3,13.1064,2.4423
twitter-combined,core,TC_DIRECT_ZC,128,81306,1768149,fs_tile_spmm_zc_kernel,386.976,106980224,276.45,0,1150136,2355478528,2355478528,6086.89,452646144,1169.7,22.0179,4.2311
twitter-combined,core,TC_DIRECT_ZC,512,81306,1768149,fs_tile_spmm_zc_kernel,1466.816,436968960,297.9,0,4600544,9421914112,9421914112,6423.38,1810584576,1234.36,21.562,4.1435
twitter-combined,core,TC_DIRECT,128,81306,1768149,fs_tile_spmm_staged_kernel,233.216,136113280,583.64,0,1150136,2355478528,2355478528,10099.99,452646144,1940.89,17.3053,3.3255
twitter-combined,core,TC_DIRECT,512,81306,1768149,fs_tile_spmm_staged_kernel,904.864,554325504,612.61,0,4600544,9421914112,9421914112,10412.52,1810584576,2000.95,16.9971,3.2663
