dataset,M,K,nnz,col_mean_n,col_std_n,col_min_n,col_max_n,row_mean_n,row_std_n
roadNet-CA,1971281,1971281,5533214,0.49706658557217676,0.2880472779779432,0.0,0.9999994927156504,0.49706658557217676,0.2880472779779432
roadNet-PA,1090920,1090920,3083796,0.49772305226764557,0.28777888852905376,0.0,0.9999990833424999,0.49772305226764557,0.2877788885290537
roadNet-TX,1393383,1393383,3843320,0.49953299155813413,0.28838275406558334,0.0,0.999999282322233,0.49953299155813413,0.28838275406558317
Amazon0601,403394,403394,3387388,0.35535236795822095,0.2845521206879102,0.0,0.9999975210340263,0.4722141203126886,0.28705700838661796
web-Google,916428,916428,5105039,0.5243048628962624,0.29456824330831005,0.0,0.9999989088068021,0.4989377099091767,0.2885553235033015
web-Stanford,281904,281904,2312497,0.510634130595214,0.28644939517846113,7.0946137692264035e-06,0.9999964526931154,0.5000312240769049,0.28823089200744884
ogbn-arxiv,169343,169343,1166243,0.49068462158791043,0.2865321263693282,0.0,0.9999881896505908,0.5010230875622737,0.2887584974665612
Yelp,716847,716847,13954819,0.5558344609254743,0.26196285989396745,0.0,0.9999986050021832,0.5558344609254743,0.26196285989396745
twitter-combined,81306,81306,1768149,0.3246788910087996,0.27689753743224943,0.0,0.9999877007846899,0.3871116102311423,0.2744264511057612
soc-Pokec,1632803,1632803,30622564,0.28085681158017145,0.21604846928872895,0.0,0.9999993875562453,0.28445477149924236,0.2164961560080232
ca-GrQc,5242,5242,28980,0.49590375185401975,0.2877101229100124,0.0,0.9998092331171309,0.49590375185401975,0.2877101229100124
ca-HepTh,9877,9877,51971,0.4970806463749954,0.28778803146704507,0.0,0.9998987546825959,0.4970806463749954,0.28778803146704507
ca-CondMat,23133,23133,186936,0.5008703071589958,0.2868887332897249,0.0,0.999956771711408,0.5008703071589958,0.28688873328972486
amazon-computers,13752,13752,491722,0.4971646749968275,0.2892548921892319,0.0,0.9999272833042466,0.4971646749968275,0.2892548921892319
amazon-photo,7650,7650,238162,0.49911177392133754,0.28958320890077915,0.0,0.9998692810457517,0.49911177392133754,0.28958320890077915
gplus-combined,107614,107614,13673453,0.21100623396652832,0.22175671467713184,0.0,0.9999907075287602,0.33197519403864895,0.24571669838939075
Reddit,232965,232965,114615892,0.49308937669830705,0.2881095718670313,0.0,0.9999957075097118,0.49308937669830705,0.2881095718670315
ogbn-products,2449029,2449029,123718152,0.3963816918940569,0.3179837634469979,0.0,0.9999995916749046,0.3963816918940569,0.3179837634469974
ogbn-proteins,132534,132534,79122504,0.5294479601679803,0.2912817899760899,0.0,0.9999924547663241,0.5294479601679803,0.2912817899760901
com-DBLP,317080,317080,2099732,0.4015290707054764,0.28348167075513114,0.0,0.9999968462217736,0.4015290707054764,0.28348167075513114
com-Amazon,334863,334863,1851744,0.5010231123632296,0.2913802842305055,0.0,0.9999970137041119,0.5010231123632296,0.2913802842305055
com-youtube,1157828,1157828,5975248,0.25928951659793276,0.27888285466771406,8.636861433649903e-07,0.9999991363138566,0.25928951659793276,0.27888285466771406
Cora,2708,2708,10556,0.4834670181344149,0.2765313142179406,0.0,0.9996307237813885,0.4834670181344149,0.2765313142179406
CiteSeer,3327,3327,9104,0.49043851155508295,0.28305190375475103,0.0,0.9996994289149383,0.49043851155508295,0.28305190375475103
PPI,1767,1767,32318,0.43280150392850786,0.25016689367669076,0.0,0.9898132427843803,0.43280150392850786,0.25016689367669076
Flickr,89250,89250,899756,0.36002243598616207,0.29880392528858973,0.0,0.9999887955182073,0.36002243598616207,0.29880392528858973
synth_sparse_skewed_cv1p5,200000,200000,3622709,0.49988905063448374,0.28867138480021864,0.0,0.999995,0.5000740560958664,0.2887441951452062
synth_sparse_skewed_cv2p0,200000,200000,6166484,0.49989615919947256,0.2886826614193578,0.0,0.999995,0.5001120760477121,0.28894539853029366
synth_sparse_skewed_cv2p5,200000,200000,10306672,0.4999748359451043,0.2886088666274086,0.0,0.999995,0.5001626081838055,0.28903974572214935
synth_sparse_skewed_cv3p0,200000,200000,16207364,0.4999995586398257,0.2886217806024824,0.0,0.999995,0.5001955945920632,0.28864886280107427
synth_sparse_skewed_cv4p0,200000,200000,25191428,0.5000370616050428,0.2886550645549597,0.0,0.999995,0.5000653791579421,0.2886129306866414
synth_community_nc10,200000,200000,1089063,0.5002511558973172,0.28881070409694665,0.0,0.999995,0.5002280088617462,0.2888782054747336
synth_community_nc50,200000,200000,1098216,0.5001904861475338,0.28864281229094024,0.0,0.999995,0.5001142464597128,0.28864099571838864
synth_community_nc100,200000,200000,1098420,0.5002318298465068,0.28859816744030875,0.0,0.999995,0.500107410048069,0.2885901361958115
synth_community_nc500,200000,200000,1100450,0.500241385914853,0.2885993968342181,0.0,0.999995,0.5002809071743378,0.2885461649953998
synth_community_nc1000,200000,200000,1101854,0.5000283788278664,0.288492671466065,0.0,0.999995,0.4998646872271644,0.28852555243490025
synth_mixed_v1,200000,200000,4001390,0.5000511247141618,0.2889060791788978,0.0,0.999995,0.49980481202282206,0.289446265951766
synth_mixed_v2,200000,200000,5457270,0.500177058096814,0.2887169570697629,0.0,0.999995,0.500267914800807,0.28958755438366507
synth_mixed_v3,200000,200000,5576937,0.4997369020189757,0.28866074588636015,0.0,0.999995,0.4999889964903674,0.2877866357438749
