T,dataset,N,ms_warm,build_ms,max_err
32,com-youtube,64,2.2386,31.69,2.7e-04
32,com-youtube,128,4.4848,31.69,4.9e-04
32,com-youtube,512,18.7949,31.69,7.9e-04
32,twitter-combined,64,0.3212,1.89,4.2e-05
32,twitter-combined,128,0.539,1.89,4.2e-05
32,twitter-combined,512,2.2139,1.89,5.3e-05
32,synth_sparse_skewed_cv2p5,64,2.9343,6.56,1.7e-05
32,synth_sparse_skewed_cv2p5,128,6.0402,6.56,2.1e-05
32,synth_sparse_skewed_cv2p5,512,24.9401,6.56,1.9e-05
32,ogbn-arxiv,64,0.355,2.75,1.9e-05
32,ogbn-arxiv,128,0.7126,2.75,3.4e-05
32,ogbn-arxiv,512,3.1692,2.75,3.1e-05
32,soc-Pokec,64,9.5389,38.7,1.3e-04
32,soc-Pokec,128,19.4142,38.7,1.7e-04
32,soc-Pokec,512,80.1596,38.7,2.7e-04
32,web-Google,64,2.0394,11.89,3.1e-05
32,web-Google,128,4.1404,11.89,2.7e-05
32,web-Google,512,17.1418,11.89,3.4e-05
