dataset,M,nnz,avg_nnz_per_row,cv_d,N,router_kernel,matched_rule,router_ms,router_speedup,oracle_kernel,oracle_ms,oracle_speedup,router_oracle_ratio,is_hit,feasible
ca-AstroPh,18772,396160,21.10377,1.44846,64,TC_DIRECT,default,0.053279,1.27667,COMMUNITY_TC,0.04929,1.37997,0.92514,False,True
ca-AstroPh,18772,396160,21.10377,1.44846,128,TC_DIRECT,default,0.085217,1.36031,COMMUNITY_TC,0.084301,1.3751,0.98925,False,True
ca-AstroPh,18772,396160,21.10377,1.44846,256,TC_DIRECT,default,0.160399,1.34962,COMMUNITY_TC,0.157696,1.37276,0.98315,False,True
ca-AstroPh,18772,396160,21.10377,1.44846,512,TC_DIRECT,default,0.327834,1.31546,COMMUNITY_TC,0.301169,1.43193,0.91866,False,True
Coauthor-CS,18333,163788,8.93405,1.01934,64,TC_DIRECT_TF32,default,0.025339,1.55163,TC_DIRECT_TF32,0.025339,1.55163,1.0,True,True
Coauthor-CS,18333,163788,8.93405,1.01934,128,TC_DIRECT_TF32,default,0.046674,1.82065,TC_DIRECT_TF32,0.046674,1.82065,1.0,True,True
Coauthor-CS,18333,163788,8.93405,1.01934,256,TC_DIRECT_TF32,default,0.088627,1.7773,TC_DIRECT_TF32,0.088627,1.7773,1.0,True,True
Coauthor-CS,18333,163788,8.93405,1.01934,512,TC_DIRECT_TF32,default,0.178883,1.73384,TC_DIRECT_TF32,0.178883,1.73384,1.0,True,True
email-Enron,36692,367662,10.02022,3.60272,64,SEGMENT_HYBRID,R3,0.06698,1.0464,SEGMENT_HYBRID_TF32,0.063892,1.09696,0.95391,False,True
email-Enron,36692,367662,10.02022,3.60272,128,SEGMENT_HYBRID,R3,0.124774,1.08182,SEGMENT_HYBRID_TF32,0.118835,1.13589,0.9524,False,True
email-Enron,36692,367662,10.02022,3.60272,256,SEGMENT_HYBRID,R3,0.243205,1.0821,TC_DIRECT,0.222623,1.18215,0.91537,False,True
email-Enron,36692,367662,10.02022,3.60272,512,SEGMENT_HYBRID,R3,0.482212,1.07446,TC_DIRECT,0.416901,1.24278,0.86456,False,True
p2p-Gnutella31,62586,147892,2.36302,1.85845,64,TC_DIRECT_TF32,default,0.056289,1.22412,TC_DIRECT_TF32,0.056289,1.22412,1.0,True,True
p2p-Gnutella31,62586,147892,2.36302,1.85845,128,TC_DIRECT_TF32,default,0.109819,1.23358,TC_DIRECT_TF32,0.109819,1.23358,1.0,True,True
p2p-Gnutella31,62586,147892,2.36302,1.85845,256,TC_DIRECT_TF32,default,0.216484,1.20692,TC_DIRECT_TF32,0.216484,1.20692,1.0,True,True
p2p-Gnutella31,62586,147892,2.36302,1.85845,512,TC_DIRECT_TF32,default,0.429271,1.18604,TC_DIRECT_TF32,0.429271,1.18604,1.0,True,True
soc-Slashdot0902,82168,948464,11.54299,3.1983,64,SEGMENT_HYBRID,R3,0.170824,1.07268,TC_DIRECT,0.166892,1.09796,0.97698,False,True
soc-Slashdot0902,82168,948464,11.54299,3.1983,128,SEGMENT_HYBRID,R3,0.327834,1.24726,TC_DIRECT,0.297201,1.37582,0.90656,False,True
soc-Slashdot0902,82168,948464,11.54299,3.1983,256,SEGMENT_HYBRID,R3,0.647112,1.25889,TC_DIRECT,0.558746,1.45799,0.86345,False,True
soc-Slashdot0902,82168,948464,11.54299,3.1983,512,SEGMENT_HYBRID,R3,1.292652,1.24668,TC_DIRECT,1.109591,1.45236,0.85838,False,True
web-NotreDame,325729,1497134,4.59626,4.67265,64,COMMUNITY_TC_TF32,R3,0.616269,0.95778,TC_DIRECT_TF32,0.387533,1.52309,0.62884,False,True
web-NotreDame,325729,1497134,4.59626,4.67265,128,COMMUNITY_TC_TF32,R3,0.93994,0.97397,TC_DIRECT_TF32,0.650547,1.40724,0.69212,False,True
