dataset,M,K,nnz,avg_nnz_per_row,cv_d,descriptor_category,N,kernel,ms_warm,ms_cusparse_warm,speedup_vs_cusparse_warm,correct,max_error,tolerance
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,CSR_DIRECT,0.091884,0.068019,0.74028,True,5.3e-05,0.02245
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,ZERO_OVERHEAD_CSR,0.094612,0.068019,0.71892,True,4.6e-05,0.02245
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,TC_DIRECT,0.053279,0.068019,1.27667,True,0.011484,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,TC_DIRECT_TF32,0.067159,0.068019,1.01281,True,0.011484,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,COMMUNITY_TC,0.04929,0.068019,1.37997,True,0.011484,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,COMMUNITY_TC_TF32,0.059607,0.068019,1.14113,True,0.011484,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,SEGMENT_HYBRID,0.062587,0.068019,1.0868,True,0.011484,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,SEGMENT_HYBRID_TF32,0.07104,0.068019,0.95748,True,0.011484,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,64,CUSPARSE,0.068019,0.068019,1.0,True,0.0,0.0
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,CSR_DIRECT,0.127508,0.115922,0.90913,True,3.8e-05,0.02245
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,ZERO_OVERHEAD_CSR,0.135532,0.115922,0.85531,True,2.9e-05,0.02245
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,TC_DIRECT,0.085217,0.115922,1.36031,True,0.013233,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,TC_DIRECT_TF32,0.113628,0.115922,1.02019,True,0.013233,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,COMMUNITY_TC,0.084301,0.115922,1.3751,True,0.013233,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,COMMUNITY_TC_TF32,0.089032,0.115922,1.30203,True,0.013233,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,SEGMENT_HYBRID,0.10306,0.115922,1.12479,True,0.013233,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,SEGMENT_HYBRID_TF32,0.123971,0.115922,0.93508,True,0.013233,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,128,CUSPARSE,0.115922,0.115922,1.0,True,0.0,0.0
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,CSR_DIRECT,0.270351,0.216479,0.80073,True,5e-05,0.02245
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,ZERO_OVERHEAD_CSR,0.243553,0.216479,0.88884,True,4.2e-05,0.02245
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,TC_DIRECT,0.160399,0.216479,1.34962,True,0.014963,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,TC_DIRECT_TF32,0.214026,0.216479,1.01146,True,0.014963,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,COMMUNITY_TC,0.157696,0.216479,1.37276,True,0.014963,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,COMMUNITY_TC_TF32,0.163763,0.216479,1.3219,True,0.014963,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,SEGMENT_HYBRID,0.197412,0.216479,1.09658,True,0.014963,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,SEGMENT_HYBRID_TF32,0.234465,0.216479,0.92329,True,0.014963,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,256,CUSPARSE,0.216479,0.216479,1.0,True,0.0,0.0
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,CSR_DIRECT,0.673203,0.431252,0.6406,True,5.3e-05,0.02245
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,ZERO_OVERHEAD_CSR,0.557087,0.431252,0.77412,True,5.3e-05,0.02245
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,TC_DIRECT,0.327834,0.431252,1.31546,True,0.015859,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,TC_DIRECT_TF32,0.431918,0.431252,0.99846,True,0.015859,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,COMMUNITY_TC,0.301169,0.431252,1.43193,True,0.015859,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,COMMUNITY_TC_TF32,0.330706,0.431252,1.30404,True,0.015859,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,SEGMENT_HYBRID,0.378445,0.431252,1.13954,True,0.015859,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,SEGMENT_HYBRID_TF32,0.470799,0.431252,0.916,True,0.015859,0.224499
ca-AstroPh,18772,18772,396160,21.10377,1.44846,Dense Small,512,CUSPARSE,0.431252,0.431252,1.0,True,0.0,0.0
