graph,M,nnz,cpu_ms,gpu_kernel_ms,gpu_with_h2d_ms,speedup_kernel_only,speedup_with_h2d,cpu_gpu_match
roadNet-CA,1971281,5533214,15.2033,0.0346,1.62919,439.4,9.33,True
roadNet-PA,1090920,3083796,3.8744,0.02257,0.98905,171.66,3.92,True
roadNet-TX,1393383,3843320,5.4415,0.02617,1.19504,207.93,4.55,True
Amazon0601,403394,3387388,0.8885,0.01507,0.42549,58.96,2.09,True
web-Google,916428,5105039,2.9841,0.02056,0.82241,145.14,3.63,True
web-Stanford,281904,2312497,0.6207,0.01388,0.36895,44.72,1.68,True
ogbn-arxiv,169343,1166243,0.3604,0.01378,0.24304,26.15,1.48,True
Yelp,716847,13954819,2.0,0.01871,0.69091,106.89,2.89,True
twitter-combined,81306,1768149,0.1624,0.01385,0.12673,11.73,1.28,True
soc-Pokec,1632803,30622564,6.8637,0.03008,1.38772,228.18,4.95,True
ca-GrQc,5242,28980,0.0121,0.0138,0.0362,0.88,0.33,True
ca-HepTh,9877,51971,0.0188,0.01382,0.04313,1.36,0.44,True
ca-CondMat,23133,186936,0.0341,0.01386,0.05856,2.46,0.58,True
amazon-computers,13752,491722,0.0251,0.01404,0.04883,1.79,0.51,True
amazon-photo,7650,238162,0.0175,0.01397,0.03983,1.25,0.44,True
gplus-combined,107614,13673453,0.2077,0.01378,0.15763,15.07,1.32,True
Reddit,232965,114615892,0.4955,0.01404,0.31851,35.29,1.56,True
ogbn-products,2449029,123718152,11.9093,0.0405,1.98634,294.06,6.0,True
ogbn-proteins,132534,79122504,0.2768,0.01398,0.18897,19.8,1.46,True
com-DBLP,317080,2099732,0.6787,0.01405,0.37813,48.31,1.79,True
com-Amazon,334863,1851744,0.7087,0.0143,0.37768,49.56,1.88,True
com-youtube,1157828,5975248,3.9579,0.02401,1.01038,164.84,3.92,True
Cora,2708,10556,0.0096,0.01383,0.03289,0.69,0.29,True
CiteSeer,3327,9104,0.0106,0.01384,0.03381,0.77,0.31,True
PPI,1767,32318,0.008,0.01382,0.03172,0.58,0.25,True
Flickr,89250,899756,0.163,0.01382,0.13224,11.79,1.23,True
synth_sparse_skewed_cv1p5,200000,3622709,0.4265,0.01396,0.26733,30.55,1.6,True
synth_sparse_skewed_cv2p0,200000,6166484,0.4194,0.01354,0.27527,30.97,1.52,True
synth_sparse_skewed_cv2p5,200000,10306672,0.4561,0.01665,0.2871,27.39,1.59,True
synth_sparse_skewed_cv3p0,200000,16207364,0.4298,0.01391,0.27627,30.9,1.56,True
synth_sparse_skewed_cv4p0,200000,25191428,0.4266,0.01398,0.27241,30.52,1.57,True
synth_community_nc10,200000,1089063,0.4274,0.01385,0.27274,30.86,1.57,True
synth_community_nc50,200000,1098216,0.4365,0.01396,0.27076,31.27,1.61,True
synth_community_nc100,200000,1098420,0.4323,0.01395,0.27155,30.99,1.59,True
synth_community_nc500,200000,1100450,0.4278,0.01403,0.27231,30.49,1.57,True
synth_community_nc1000,200000,1101854,0.4233,0.0138,0.27014,30.67,1.57,True
synth_mixed_v1,200000,4001390,0.4266,0.01385,0.27127,30.8,1.57,True
synth_mixed_v2,200000,5457270,0.424,0.01422,0.27636,29.82,1.53,True
synth_mixed_v3,200000,5576937,0.4264,0.01394,0.27508,30.59,1.55,True
synth_mixed_v4,200000,7410217,0.4263,0.0137,0.27675,31.12,1.54,True
synth_mixed_v5,200000,7276677,0.4346,0.014,0.27749,31.04,1.57,True
synth_dense_small_d30,10000,300000,0.02,0.01379,0.0436,1.45,0.46,True
synth_dense_small_d50,10000,500000,0.0204,0.0138,0.04323,1.48,0.47,True
synth_dense_small_d70,10000,700000,0.0186,0.01389,0.04372,1.34,0.43,True
synth_dense_small_d90,10000,900000,0.0186,0.01394,0.04325,1.33,0.43,True
synth_dense_small_d120,10000,1200000,0.0185,0.01405,0.04356,1.32,0.42,True
synth_sparse_uniform_d3,300000,900000,0.6763,0.01689,0.38106,40.04,1.77,True
synth_sparse_uniform_d5,300000,1500000,0.6644,0.01482,0.37374,44.83,1.78,True
synth_sparse_uniform_d8,300000,2400000,0.6386,0.01487,0.38324,42.95,1.67,True
synth_sparse_uniform_d12,300000,3600000,0.6811,0.01675,0.38405,40.66,1.77,True
synth_sparse_uniform_d18,300000,5400000,0.6191,0.01486,0.3645,41.66,1.7,True
