dataset,category,M,nnz,windows,vectors,avg_vector_fill,fill_fraction,zero_padding_pct,plan_MB,value_bytes_pct,zc_plan_MB,zc_shrink_x
roadNet-CA,Sparse Uniform,1971281,5533214,246411,5384736,1.028,0.1284,87.2,108.68,79.3,38.98,2.79
roadNet-PA,Sparse Uniform,1090920,3083796,136365,3023976,1.02,0.1275,87.3,61.02,79.3,21.83,2.8
roadNet-TX,Sparse Uniform,1393383,3843320,174173,3823648,1.005,0.1256,87.4,77.17,79.3,27.5,2.81
Amazon0601,Sparse Uniform,403394,3387388,50425,2709744,1.25,0.1563,84.4,54.4,79.7,20.53,2.65
web-Google,Sparse Uniform,916428,5105039,114554,5497200,0.929,0.1161,88.4,110.4,79.7,38.15,2.89
web-Stanford,Sparse Uniform,281904,2312497,35238,2354272,0.982,0.1228,87.7,47.23,79.8,16.54,2.86
ogbn-arxiv,Sparse Uniform,169343,1166243,21168,1219112,0.957,0.1196,88.0,24.47,79.7,8.51,2.87
Yelp,Sparse Uniform,716847,13954819,89606,14203360,0.983,0.1228,87.7,284.43,79.9,99.28,2.86
twitter-combined,Sparse Skewed,81306,1768149,10164,1150136,1.537,0.1922,80.8,23.04,79.9,9.33,2.47
soc-Pokec,Sparse Skewed,1632803,30622564,204101,30107904,1.017,0.1271,87.3,602.97,79.9,212.6,2.84
ca-GrQc,Dense Small,5242,28980,656,30656,0.945,0.1182,88.2,0.62,79.7,0.21,2.88
ca-HepTh,Dense Small,9877,51971,1235,55576,0.935,0.1169,88.3,1.12,79.6,0.39,2.89
ca-CondMat,Dense Small,23133,186936,2892,194688,0.96,0.12,88.0,3.91,79.8,1.36,2.87
amazon-computers,Dense Small,13752,491722,1719,479168,1.026,0.1283,87.2,9.59,79.9,3.39,2.83
amazon-photo,Dense Small,7650,238162,957,231288,1.03,0.1287,87.1,4.63,79.9,1.64,2.83
gplus-combined,Dense Large-Scale,107614,13673453,13452,10152624,1.347,0.1683,83.2,203.11,80.0,78.16,2.6
Reddit,Dense Large-Scale,232965,114615892,29121,111680288,1.026,0.1283,87.2,2233.72,80.0,787.75,2.84
ogbn-products,Dense Large-Scale,2449029,123718152,306129,124723712,0.992,0.124,87.6,2495.7,80.0,872.28,2.86
ogbn-proteins,Dense Large-Scale,132534,79122504,16567,53194600,1.487,0.1859,81.4,1063.96,80.0,424.28,2.51
com-DBLP,Community,317080,2099732,39635,1948184,1.078,0.1347,86.5,39.12,79.7,14.1,2.77
com-Amazon,Community,334863,1851744,41858,1983424,0.934,0.1167,88.3,39.84,79.7,13.79,2.89
com-youtube,Community,1157828,5975248,144729,5629184,1.061,0.1327,86.7,113.16,79.6,40.68,2.78
